name,alt_name,ra,dec,bv_color,parallax
HR 1109,,293.79485,-35.80121,0.93,
HR 111,,311.89969,-66.19801,1.09,
HR 1110,,170.90066,-30.28295,1,
HR 1111,21    Eri,192.27566,-44.74806,0.92,0.028
HR 1112,,142.86629,3.90266,1.71,
HR 1113,,156.37326,-14.03775,-0.07,
HR 1114,Tau For,224.15565,-53.07535,-0.02,
HR 1115,12    Tau,183.01256,-39.42428,0.94,
HR 1116,,189.82165,-43.36931,1.04,
HR 1117,,198.27918,-47.14601,1.03,
HR 1118,11    Tau,164.53878,-23.55217,0.06,
HR 1119,,187.38318,-41.96996,1,
HR 112,,121.74476,14.19498,0.84,0.023
HR 1120,,204.82931,-49.11645,0.88,
HR 1121,22    Eri,192.09891,-44.183,-0.15,
HR 1122,39Del Per,150.28345,-5.76846,-0.13,0.016
HR 1123,40    Per,158.91952,-16.70333,-0.01,
HR 1124,,138.68097,9.83467,0.35,0.004
HR 1125,,200.36227,-47.40016,0.36,
HR 1126,13    Tau,168.99572,-27.50837,-0.01,
HR 1127,,149.98934,-5.06494,1.55,
HR 1128,,211.26702,-50.46289,0.09,
HR 1129,,141.10336,6.81298,0.8,0
HR 113,,120.29148,-2.7863,0.01,0.002
HR 1130,,151.56097,-6.92018,0.28,
HR 1131,38Omi Per,160.36355,-17.73987,0.05,0.023
HR 1132,14    Tau,169.30806,-27.29777,1.01,
HR 1133,,157.6405,-14.48972,0.06,
HR 1134,Del For,230.88156,-52.77313,-0.16,
HR 1135,41Nu  Per,153.83181,-9.63268,0.42,0.02
HR 1136,23Del Eri,198.08713,-45.99576,0.92,0.109
HR 1137,,168.47347,-26.26474,0.01,
HR 1138,,136.54582,12.8621,0.09,0.017
HR 1139,,199.05401,-46.27652,0.22,
HR 114,28    And,117.42149,-32.89187,0.24,0.001
HR 1140,16    Tau,166.03848,-23.72862,-0.04,0.012
HR 1141,,152.00098,-7.10869,-0.07,
HR 1142,17    Tau,166.18033,-23.84876,-0.11,0.02
HR 1143,,239.76491,-52.68848,1.2,0.028
HR 1144,18    Tau,165.70507,-23.26448,-0.07,
HR 1145,19    Tau,165.98396,-23.53463,-0.11,
HR 1146,24    Eri,188.32112,-41.08487,-0.1,
HR 1147,,145.85355,1.09538,-0.03,
HR 1148,Gam Cam,136.31417,13.27447,0.03,0.012
HR 1149,20    Tau,166.17062,-23.51447,-0.07,
HR 115,,99.58481,-76.74791,0.37,
HR 1150,25    Eri,187.48285,-40.48525,1.42,
HR 1151,21    Tau,166.04908,-23.36338,-0.04,
HR 1152,22    Tau,166.09454,-23.36161,-0.02,
HR 1153,29    Tau,181.28207,-36.39112,-0.12,
HR 1154,,293.48434,-35.5872,1.15,
HR 1155,,140.02341,8.7503,1.88,0.014
HR 1156,23    Tau,166.57006,-23.74915,-0.06,
HR 1157,,245.19452,-52.14149,1.06,
HR 1158,,141.44916,7.02584,0.18,
HR 1159,,180.67076,-35.80997,0.99,
HR 116,,344.91378,-83.14907,1.34,
HR 1160,,149.15868,-2.90322,0.06,
HR 1161,,145.30396,2.18561,0.06,
HR 1162,26Pi  Eri,201.55392,-46.46732,1.63,0
HR 1163,,160.08037,-16.25512,0.08,0.005
HR 1164,,161.01961,-17.3348,0.47,
HR 1165,25Eta Tau,166.66846,-23.45523,-0.09,0.008
HR 1166,,138.26222,11.18451,-0.08,
HR 1167,,256.76196,-50.50762,1.02,
HR 1168,,265.79858,-48.4603,1.04,
HR 1169,,255.66818,-50.62906,0.96,
HR 117,12    Cet,109.56784,-66.27216,1.56,
HR 1170,,153.52328,-8.10326,0.29,
HR 1171,Sig For,226.80922,-51.6108,0.12,
HR 1172,,167.33218,-23.8254,-0.07,
HR 1173,27Tau6Eri,217.35116,-50.32416,0.42,0.059
HR 1174,30    Tau,177.17124,-32.53389,-0.13,0.011
HR 1175,Bet Ret,279.23592,-43.53648,1.13,0.042
HR 1176,,153.01587,-7.21751,0.76,
HR 1177,42    Per,160.70001,-16.41702,0.07,-0.003
HR 1178,27    Tau,167.01361,-23.23464,-0.09,-0.026
HR 1179,,227.74769,-51.49333,0.49,
HR 118,,66.87258,-84.19119,0.12,0.018
HR 1180,28    Tau,166.9567,-23.16943,-0.08,-0.012
HR 1181,28Tau7Eri,218.37175,-50.30266,0.07,0.014
HR 1182,,187.65114,-39.42826,1.23,
HR 1183,,167.36925,-23.39782,-0.05,
HR 1184,Rho For,228.19609,-51.39665,0.98,0.008
HR 1185,,168.50173,-24.43861,-0.01,
HR 1186,,237.73995,-51.72929,-0.1,
HR 1187,,214.04007,-49.27333,1.64,
HR 1188,,166.10416,-21.93371,0.21,0.018
HR 1189,,240.17487,-51.53275,0.01,0.024
HR 119,,318.96977,-75.52901,0.33,
HR 1190,,240.17218,-51.53116,-0.03,0.024
HR 1191,,160.22652,-15.13684,0,
HR 1192,,145.22154,3.22245,0.18,
HR 1193,,168.97465,-24.32268,,
HR 1194,,176.11558,-30.7046,-0.07,
HR 1195,,237.88551,-51.39945,0.95,0.025
HR 1196,,136.36348,13.96218,0.3,
HR 1197,,162.44166,-17.51697,0.2,
HR 1198,,151.14603,-3.98122,1.05,0.02
HR 1199,31    Tau,182.07102,-34.8752,0.06,
HR 12,,55.56085,-79.07589,0.14,
HR 120,,312.51833,-68.52043,0.35,
HR 1200,,238.24066,-51.16074,-0.04,
HR 1201,,172.93878,-27.4134,0.34,0.03
HR 1202,30    Eri,194.48646,-41.73822,-0.1,0.018
HR 1203,44Zet Per,162.28908,-16.69047,0.12,0.01
HR 1204,,142.27674,7.417,-0.09,
HR 1205,,143.53504,5.90249,1.45,0.015
HR 1206,,211.06202,-47.43943,0.88,
HR 1207,,151.9442,-4.3321,-0.08,
HR 1208,Gam Hyi,289.12932,-37.79824,1.62,0.005
HR 1209,,163.08114,-17.13643,0.29,-0.002
HR 121,13    Cas,120.93601,3.72525,-0.1,
HR 1210,43    Per,150.2037,-2.10369,0.41,0.036
HR 1211,32    Eri,192.09288,-40.09828,0.09,0.004
HR 1212,32    Eri,192.09524,-40.099,0.94,0.004
HR 1213,33Tau8Eri,219.99578,-49.14328,-0.13,
HR 1214,,235.56799,-50.53095,-0.13,
HR 1215,,160.46857,-13.97358,-0.03,
HR 1216,,254.43484,-49.37293,1.24,
HR 1217,,202.97391,-44.46993,0.32,
HR 1218,32    Tau,169.58993,-23.15548,0.3,0.03
HR 1219,,244.38447,-50.22977,0.6,
HR 122,,118.16235,-29.10466,1.14,
HR 1220,45Eps Per,157.35364,-10.08848,-0.18,0.009
HR 1221,33    Tau,169.09522,-22.62556,0.02,
HR 1222,,168.19491,-21.64244,1.37,
HR 1223,,160.89943,-13.95852,0.23,
HR 1224,,183.49559,-34.22144,0.06,
HR 1225,,200.29407,-43.09726,0.28,
HR 1226,,158.23063,-10.88859,1.08,
HR 1227,,262.79141,-47.63571,0.16,
HR 1228,46Xi  Per,160.3722,-13.10651,0.01,-0.004
HR 1229,,158.41956,-10.75109,0.1,0.005
HR 123,14Lam Cas,120.05119,-8.23952,-0.1,0.03
HR 1230,,130.5092,20.90737,0.56,0.005
HR 1231,34Gam Eri,205.16229,-44.47269,1.59,0.01
