name,alt_name,ra,dec,bv_color,parallax
HR 3090,,262.05707,-10.42336,-0.14,
HR 3091,,251.47509,-4.14371,-0.19,
HR 3092,,250.63881,-3.53087,1.53,
HR 3093,,216.37117,16.48702,0.98,
HR 3094,,175.70609,30.05077,1.06,
HR 3095,1    Cnc,205.62438,21.45113,1.28,
HR 3096,,247.32947,-1.4039,,
HR 3097,,212.56874,18.5285,1,
HR 3098,,219.57413,15.1332,0.5,0.005
HR 3099,,246.91707,-0.86438,1.66,
HR 31,,87.6908,-72.60355,1.01,
HR 310,74Psi1Psc,127.34274,-41.27643,-0.03,0.016
HR 3100,,266.18691,-12.36142,-0.01,
HR 3101,,258.53039,-7.93406,-0.11,
HR 3102,11    Pup,240.64189,3.07289,0.72,0.023
HR 3103,,214.0153,18.08693,-0.04,
HR 3104,,205.06106,22.07768,1.47,
HR 3105,,270.45221,-14.61502,1.3,0.009
HR 3106,,158.23435,31.90544,0.39,
HR 3107,,255.89136,-6.25499,-0.18,
HR 3108,,129.26986,29.1501,0.03,
HR 3109,53    Cam,156.72976,31.94932,0.14,
HR 311,74Psi1Psc,127.3476,-41.28418,-0.07,0.016
HR 3110,14    CMi,218.69518,15.88137,0.92,0.027
HR 3111,,257.3907,-7.01716,1.36,
HR 3112,,153.4677,31.974,0.59,
HR 3113,,247.104,-0.65266,0.15,0.025
HR 3114,,258.34032,-7.57399,-0.18,
HR 3115,,208.39665,20.99403,1.32,
HR 3116,,258.90168,-7.83032,-0.17,
HR 3117,Chi Car,266.677,-12.32021,-0.18,0.004
HR 3118,,262.208,-9.73218,-0.1,0.007
HR 3119,,160.32803,32.04638,0.62,0.038
HR 312,,123.73748,17.16775,,
HR 3120,,273.50318,-15.94239,1.55,
HR 3121,,260.23052,-8.48974,1.27,0.009
HR 3122,27    Mon,224.23798,13.38578,1.21,0.008
HR 3123,12    Pup,241.2782,3.2882,1.12,-0.003
HR 3124,2Ome1Cnc,196.23318,25.82413,1.02,
HR 3125,,201.97552,23.83682,1.11,
HR 3126,,272.24631,-15.23606,2.08,
HR 3127,,198.12767,25.23011,,0.01
HR 3128,3    Cnc,204.50225,22.88429,1.32,
HR 3129,,263.47561,-10.27936,-0.17,
HR 313,77    Psc,129.66103,-57.77542,0.38,
HR 3130,,185.49746,28.93325,1.56,
HR 3131,,237.16406,5.99788,0.08,0.021
HR 3132,4Ome2Cnc,196.61749,25.89391,0.01,
HR 3133,,265.43202,-11.35809,0.25,
HR 3134,5    Cnc,205.42724,22.71001,-0.02,
HR 3135,,223.64361,13.99044,-0.07,
HR 3136,,216.57506,17.73861,0,
HR 3137,,260.02089,-8.12952,-0.14,
HR 3138,,273.38448,-15.67834,0.57,0.062
HR 3139,,276.12793,-17.10653,-0.1,
HR 314,77    Psc,129.67791,-57.77336,0.49,
HR 3140,,254.95633,-5.00978,0.39,0.038
HR 3141,28    Mon,222.35571,14.8129,1.49,0.009
HR 3142,,264.19935,-10.50972,,
HR 3143,,264.19812,-10.50561,,
HR 3144,,212.82973,19.66601,0.57,
HR 3145,,219.06752,16.8002,1.25,0.024
HR 3146,,260.34761,-8.0568,1.27,
HR 3147,,273.92679,-15.80505,-0.09,
HR 3148,,263.41182,-9.86276,0.04,
HR 3149,Chi Gem,193.89822,27.14079,1.12,0.016
HR 315,27    Cet,134.63048,-72.5282,1.01,
HR 3150,,226.95368,12.66904,0.62,0.007
HR 3151,,263.33518,-9.77408,-0.11,
HR 3152,,273.41008,-15.42649,-0.06,
HR 3153,,273.75518,-15.60924,1.74,-0.001
HR 3154,,253.45664,-3.5969,0.14,
HR 3155,,253.30874,-3.39284,1.62,
HR 3156,,268.02218,-12.3679,-0.14,
HR 3157,,268.38647,-12.47775,-0.04,
HR 3158,,203.34609,24.33948,-0.05,
HR 3159,,276.54602,-16.91822,-0.17,
HR 316,,125.06504,-5.87227,1.18,
HR 3160,,249.52098,-0.79446,1.22,
HR 3161,,269.23523,-12.92323,-0.15,
HR 3162,,257.0074,-5.5288,-0.15,
HR 3163,8    Cnc,209.10901,22.16136,0.01,0.023
HR 3164,,194.34283,27.50109,0.01,0.007
HR 3165,Zet Pup,255.97607,-4.70566,-0.26,
HR 3166,,258.48265,-6.27091,1.01,
HR 3167,28    Lyn,176.83935,31.51849,-0.02,
HR 3168,14    Pup,238.90273,6.27572,-0.16,
HR 3169,9Mu 1Cnc,199.5802,26.04583,1.66,
HR 317,28    Cet,134.92296,-72.36929,0.01,
HR 3170,,249.83454,-0.69271,1.91,0.024
HR 3171,,285.72715,-21.21032,0.14,
HR 3172,,222.18033,16.21544,1.05,
HR 3173,27    Lyn,167.19193,32.65401,0.05,-0.009
HR 3174,,230.04125,12.07423,-0.07,
HR 3175,,159.17423,33.04387,1.39,
HR 3176,10Mu 2Cnc,200.81021,25.99369,0.63,0.034
HR 3177,,250.7556,-0.91002,1.11,
HR 3178,,265.18993,-10.06322,1.21,
HR 3179,,262.11622,-8.10261,-0.15,
HR 318,,125.2997,-9.30116,,
HR 3180,,267.42108,-11.30183,1.34,0.02
HR 3181,,177.8776,31.78846,1.27,
HR 3182,,147.01381,32.52773,1.04,0.021
HR 3183,,239.93435,6.35767,0.1,0.001
HR 3184,12    Cnc,208.98309,23.1811,0.43,
HR 3185,15Rho Pup,243.1481,4.40177,0.43,0.035
HR 3186,,276.11231,-16.13981,-0.1,
HR 3187,,260.76912,-7.0059,1.5,-0.011
HR 3188,29Zet Mon,224.7222,15.65564,0.97,0.003
HR 3189,,232.20017,11.5293,0.01,
HR 319,75    Psc,128.6391,-49.748,0.96,
HR 3190,,239.95013,6.74225,0.16,
HR 3191,14Psi Cnc,196.89506,27.89399,0.81,0.029
HR 3192,16    Pup,239.03495,7.39824,-0.15,
HR 3193,,182.23244,31.50195,0.59,
HR 3194,,236.52495,9.07685,-0.17,
HR 3195,,254.53626,-2.63434,-0.04,
HR 3196,,248.40841,1.444,1.4,
HR 3197,,130.95466,29.89019,0.01,
HR 3198,,208.23796,24.08389,0.02,
HR 3199,,252.72375,-1.33525,0.89,
HR 32,,306.9774,-43.58197,0.37,
HR 320,,170.31411,-85.43877,1.09,
HR 3200,,161.31436,33.5782,1.01,
HR 3201,,213.02879,22.15613,-0.1,
HR 3202,18    Pup,234.56292,10.60866,0.49,0.047
HR 3203,,263.92279,-8.45412,-0.12,
HR 3204,,260.0743,-5.95642,-0.19,
HR 3205,,258.83895,-5.12795,-0.04,0.017
HR 3206,Gam1Vel,262.8064,-7.69705,-0.23,
HR 3207,Gam2Vel,262.80271,-7.68578,-0.22,0.017
HR 3208,16Zet1Cnc,205.30133,25.53076,0.54,0.039
HR 3209,16Zet1Cnc,205.30133,25.53076,0.54,0.039
HR 321,30Mu  Cas,125.37234,-7.87166,0.69,0.136
HR 3210,16Zet2Cnc,205.30233,25.53296,0.6,0.039
HR 3211,19    Pup,233.88459,11.19102,0.95,0.031
HR 3212,,229.39509,13.90633,0.89,0.012
HR 3213,,263.33304,-7.97891,-0.21,
HR 3214,,209.01352,24.14088,,
HR 3215,15    Cnc,192.58079,29.70658,-0.07,
HR 3216,,138.46564,31.60647,0.9,
HR 3217,,277.20107,-16.23902,-0.06,
HR 3218,,270.37552,-12.26302,0.21,
HR 3219,,254.46858,-2.02314,-0.01,
HR 322,Bet Phe,295.50668,-70.19794,0.89,0.021
HR 3220,,274.97417,-14.95547,0.43,0.055
HR 3221,,156.58712,33.69389,0.2,
HR 3222,,206.54038,25.27094,0.89,
HR 3223,Eps Vol,281.62422,-18.55985,-0.11,
HR 3224,,199.70084,27.8168,0.11,
HR 3225,,256.45463,-3.23986,1.62,-0.006
HR 3226,,259.29463,-5.06332,0.18,0.004
HR 3227,,263.91246,-8.05215,-0.15,
HR 3228,,205.46966,25.97656,0.3,
HR 3229,20    Pup,236.62669,10.10714,1.07,0.03
HR 323,,283.31941,-80.88876,0.14,
HR 3230,,248.4957,2.33095,0.06,
HR 3231,,210.18506,24.19295,,
HR 3232,,262.44078,-6.95939,0.59,
HR 3233,,255.19663,-2.06656,0.1,
HR 3234,,262.16718,-6.67926,-0.11,
HR 3235,29    Lyn,157.54085,33.99442,0.16,
HR 3236,,142.28681,32.46381,1.54,
HR 3237,,253.57689,-0.84437,-0.11,
HR 3238,,251.65625,0.47628,1.14,
HR 3239,,250.52404,1.35363,-0.16,
HR 324,41    And,126.08348,-18.82839,0.11,0.031
HR 3240,,253.98286,-0.99729,-0.19,
HR 3241,,253.99912,-1.00644,-0.18,
HR 3242,,253.31766,-0.49516,1.02,
HR 3243,,257.34866,-3.20947,1.17,0.01
HR 3244,,262.88486,-6.91713,-0.14,
HR 3245,,153.99533,33.92783,0.89,
HR 3246,,164.09171,34.22037,1.54,
HR 3247,,265.60235,-8.65447,1.61,0.007
HR 3248,,211.74944,24.13938,1.56,0.021
HR 3249,17Bet Cnc,214.2531,23.04757,1.48,0.012
HR 325,,172.45092,-85.25991,0.23,
HR 3250,,261.98334,-6.1712,-0.2,
HR 3251,,249.71296,2.32782,0.78,0.009
HR 3252,,214.68405,23.1342,0.98,
HR 3253,,253.85912,-0.42688,1.55,
HR 3254,30    Lyn,159.72468,34.43433,0.39,
HR 3255,,241.80337,7.83211,0.02,
HR 3256,,265.97662,-8.54675,1.49,
HR 3257,21    Pup,237.5829,10.66388,0.01,
HR 3258,,164.78137,34.54801,0.28,
HR 3259,,234.56307,12.82374,0.76,0.082
HR 326,,125.18844,-4.53313,-0.01,
HR 3260,,276.79906,-15.1324,0.09,0.031
HR 3261,,249.19901,3.21751,1.04,
HR 3262,18Chi Cnc,195.78402,30.46704,0.47,0.061
HR 3263,,156.20478,34.51992,0.97,0.015
HR 3264,,202.84621,28.44907,1.13,
HR 3265,,232.52056,14.30131,0.33,
HR 3266,,253.74791,0.21412,1.24,
HR 3267,,255.32868,-0.88023,0.23,0.009
HR 3268,19Lam Cnc,199.33474,29.58743,-0.03,
HR 3269,,219.70985,21.4329,0.97,
HR 327,78    Psc,127.02146,-30.72783,0.4,
HR 3270,,254.77639,-0.42122,0.22,0.057
HR 3271,,224.31323,19.20349,0.6,
HR 3272,,228.35434,17.01599,1.33,
HR 3273,,253.17482,0.90258,-0.08,
HR 3274,,273.66819,-12.91146,0.39,
HR 3275,31    Lyn,177.38975,34.33607,1.55,0.023
HR 3276,,243.61192,7.63278,1.04,
HR 3277,,165.21067,35.04499,0.11,0.03
HR 3278,,225.0975,19.10731,0.02,0.009
HR 3279,,241.33425,9.38394,0.77,
HR 328,79Psi2Psc,128.12762,-41.96588,0.13,
HR 3280,,279.38622,-16.21931,1.15,0.013
HR 3281,,239.29344,10.86566,1.05,
HR 3282,,252.13161,2.09676,1.45,0.03
HR 3283,,254.94973,0.14051,-0.19,
HR 3284,20    Cnc,205.69778,28.2463,0.17,0.011
HR 3285,,229.41333,17.0568,0.22,
HR 3286,,257.5355,-1.63505,0.17,
HR 3287,,178.86433,34.5365,1.59,
HR 3288,,230.68678,16.43754,1.67,
HR 3289,22    Pup,235.51559,13.50133,1,
HR 329,30    Cet,136.22663,-72.23448,0.43,
HR 3290,21    Cnc,213.67822,25.31519,1.49,
HR 3291,,246.77189,6.15972,0.37,-0.009
HR 3292,,187.20057,33.45198,1.27,
HR 3293,,272.86916,-11.91252,-0.09,
HR 3294,,264.97735,-6.49712,-0.15,
HR 3295,,228.37499,18.25407,0.46,
HR 3296,,256.64827,-0.5723,1.63,
HR 3297,1    Hya,227.49397,18.73856,0.46,0.057
HR 3298,,278.20487,-15.1861,0.93,
HR 3299,25    Cnc,207.30173,28.31373,0.41,0.035
HR 33,6    Cet,82.22732,-75.06525,0.49,0.067
HR 330,80    Psc,130.67605,-56.96724,0.34,0.036
HR 3300,,268.0455,-8.48571,0.01,
HR 3301,Kap1Vol,284.82535,-19.0456,-0.06,
HR 3302,Kap2Vol,284.82439,-19.02739,-0.1,
HR 3303,,148.0733,34.30162,0.97,
HR 3304,22Phi1Cnc,195.49887,32.01851,1.4,
HR 3305,,222.18957,21.83385,1.53,
HR 3306,,216.95891,24.42467,0.94,0.016
HR 3307,Eps Car,274.28563,-12.60116,1.28,
HR 3308,,244.38396,8.35488,0.06,
HR 3309,,174.49694,35.41889,0.62,0.046
HR 331,Ups Phe,290.81447,-75.25415,0.16,0.014
HR 3310,23Phi2Cnc,196.60651,31.81572,0.18,0.01
HR 3311,23Phi2Cnc,196.60574,31.81666,0.18,0.01
HR 3312,24    Cnc,199.28251,31.07414,0.32,0.021
HR 3313,24    Cnc,199.28172,31.07561,0.52,0.021
HR 3314,,227.77899,18.89177,-0.02,0.026
HR 3315,,245.14657,7.87774,1.48,0.031
HR 3316,,242.67222,9.61701,0.4,
HR 3317,,239.66975,11.69233,,
HR 3318,Alp Cha,289.86004,-21.68127,0.39,0.053
HR 3319,27    Cnc,211.95227,26.78497,1.6,0.03
HR 332,Iot Tuc,299.64,-55.25138,0.88,0.033
HR 3320,,237.56002,13.12679,0.17,
HR 3321,2    Hya,227.95895,19.02118,0.22,0.028
HR 3322,,260.50249,-2.88819,-0.17,
HR 3323,1Omi UMa,155.97647,35.42693,0.84,0.009
HR 3324,,235.59434,14.58642,1.19,
HR 3325,,230.26336,17.95623,0.51,
HR 3326,,260.09557,-2.39563,-0.15,
HR 3327,,257.61869,-0.53862,-0.09,0.005
HR 3328,,257.62055,-0.53756,0.08,0.005
HR 3329,28    Cnc,199.87696,31.37513,0.24,
HR 333,,123.90639,16.8416,0.01,
HR 3330,,267.94267,-7.93202,-0.16,
HR 3331,,249.64739,5.25272,-0.05,
HR 3332,,145.61023,34.14115,1.35,
HR 3333,29    Cnc,210.55919,27.83449,0.19,
HR 3334,Eta Vol,286.65774,-19.81767,0.01,0.01
HR 3335,,242.80081,10.16232,0.04,
HR 3336,,251.71334,3.90792,0.9,
HR 3337,,226.88394,20.20185,0.33,0.015
HR 3338,,232.55323,16.91468,1.2,
HR 3339,,247.24427,7.21507,0.11,
HR 334,31Eta Cet,137.16104,-72.57841,1.16,0.041
HR 3340,The Cha,290.45803,-21.83664,1.16,0.036
HR 3341,,268.9201,-8.43019,0.06,
HR 3342,,233.44891,16.52785,0.42,
HR 3343,,254.60445,2.03014,-0.15,
HR 3344,,244.80119,9.09826,0.05,
HR 3345,,243.0689,10.35916,-0.06,
HR 3346,,278.92026,-15.01356,0.96,
HR 3347,Bet Vol,280.26149,-15.84316,1.13,0.042
HR 3348,,184.80208,35.10945,-0.03,
HR 3349,,270.84651,-9.55337,-0.02,
HR 335,42Phi And,126.11241,-15.51826,-0.07,0.003
HR 3350,,269.25677,-8.44277,0.25,0.021
HR 3351,,165.30306,36.35836,1.01,
HR 3352,,139.27442,32.95138,,
HR 3353,,248.43565,6.80961,-0.13,
HR 3354,2    UMa,150.52384,35.20541,0.18,0.017
HR 3355,30Ups1Cnc,200.18929,31.98328,0.28,
HR 3356,,262.07716,-3.07778,-0.16,
HR 3357,31The Cnc,206.77061,29.97827,1.56,
HR 3358,,265.143,-5.28099,-0.14,
HR 3359,,262.57064,-3.35944,-0.16,0
HR 336,31    Cas,124.67863,5.97205,-0.02,0.017
HR 3360,,183.95506,35.53874,1.11,0.011
HR 3361,,215.4362,26.74257,-0.07,
HR 3362,,252.50661,4.17716,1.49,
HR 3363,,263.90811,-4.25608,-0.15,
HR 3364,,256.20493,1.49992,1.95,
HR 3365,32    Lyn,185.88682,35.37055,0.36,0.032
HR 3366,33Eta Cnc,204.33156,31.05599,1.25,0.013
HR 3367,,242.27263,11.6449,-0.06,0.003
HR 3368,,271.17329,-9.40264,0.8,
HR 3369,32Ups2Cnc,200.30963,32.30852,1.02,0.027
HR 337,43Bet And,127.10747,-27.10279,1.58,0.049
HR 3370,,283.85797,-17.79865,-0.03,
HR 3371,,262.70496,-3.1949,-0.02,
HR 3372,34    Cnc,215.27109,27.01864,-0.02,
HR 3373,,258.20397,0.26389,-0.15,
HR 3374,,238.55468,14.40698,0.27,
HR 3375,,265.29848,-4.95848,-0.15,
HR 3376,,212.11806,28.59245,1.17,
HR 3377,33    Lyn,185.96469,35.63861,0.04,
HR 3378,,220.68198,24.87526,1.07,
HR 3379,,140.44343,33.47971,1.02,0.015
HR 338,Zet Phe,297.83299,-61.71435,-0.08,0.013
HR 3380,,217.08721,26.66181,0.33,
HR 3381,,246.66942,9.05318,0.27,0.016
HR 3382,,270.67136,-8.7219,1.31,
HR 3383,,227.29266,21.58128,0,
HR 3384,,252.27067,4.97361,0.79,0.086
HR 3385,,254.81778,3.13998,0.95,
HR 3386,,269.7489,-7.96583,0.58,
HR 3387,35    Cnc,205.5138,31.33696,0.68,
HR 3388,,257.86824,0.97675,-0.18,
HR 3389,,258.2878,0.74033,-0.14,
HR 339,81Psi3Psc,128.85361,-43.00169,0.69,
HR 3390,,264.8057,-4.1125,1.56,
HR 3391,3Pi 1UMa,150.55184,35.70423,0.62,0.073
HR 3392,,222.85214,24.29555,1.02,
HR 3393,,293.84383,-23.25635,1.02,
HR 3394,,210.21582,29.93663,,
HR 3395,,219.11819,26.20215,0.52,0.052
HR 3396,,219.11631,26.20434,0.71,0.052
HR 3397,,253.36859,4.60842,0.75,
HR 3398,3    Hya,232.79857,18.85387,-0.03,
HR 3399,,257.39422,1.61277,1.56,
HR 34,Kap2Scl,26.29795,-81.134,1.34,
HR 340,44    And,126.67316,-20.65319,0.6,
HR 3400,,164.89138,37.21209,0.96,
HR 3401,,156.74291,36.6254,,
HR 3402,,248.82443,8.18284,0.37,
HR 3403,4Pi 2UMa,151.35906,35.9568,1.17,0.016
HR 3404,,259.36805,0.31353,0.58,
HR 3405,,165.48183,37.33503,,
HR 3406,36    Cnc,216.21871,27.82653,0.09,
HR 3407,,267.32874,-5.71299,1.33,0.009
HR 3408,,165.74656,37.39148,1.17,
HR 3409,,190.50888,35.68853,1.12,
HR 341,,128.28672,-37.21751,1.47,
HR 3410,4Del Hya,220.25526,26.18163,0,0.033
HR 3411,,230.32381,20.88367,1.05,
HR 3412,37    Cnc,216.42096,28.01133,-0.02,
HR 3413,,268.26695,-6.17612,-0.13,
HR 3414,,273.97124,-10.38422,1,0.017
HR 3415,,274.14433,-10.51719,-0.14,
HR 3416,,232.01648,20.15925,0.44,
HR 3417,,287.02617,-19.14017,0.95,
HR 3418,5Sig Hya,222.71361,25.3142,1.21,0.035
HR 3419,,254.66325,4.41975,0.33,
HR 342,,125.10507,1.41543,-0.07,
HR 3420,Eta Pyx,248.66352,8.96182,-0.04,0.038
HR 3421,,259.75418,0.53085,0.6,0.059
HR 3422,34    Lyn,174.4225,37.76371,0.99,0.015
HR 3423,,191.65386,35.91983,,
HR 3424,,218.16493,27.6195,1.08,
HR 3425,,243.39507,12.93382,1.59,0.005
HR 3426,,262.05298,-1.1409,0.11,0.018
HR 3427,39    Cnc,205.51164,32.53722,0.98,
HR 3428,,205.91278,32.47846,1.02,
HR 3429,41Eps Cnc,206.05963,32.4531,0.17,
HR 343,33The Cas,125.76394,-7.61388,0.17,0.014
HR 3430,,245.88891,11.31431,0.73,0.063
HR 3431,6    Hya,237.40164,17.3368,1.42,0.023
HR 3432,,278.15012,-12.989,1.02,0.02
HR 3433,Zet Pyx,251.58781,7.31389,0.9,0.021
HR 3434,,257.17877,2.99451,0.42,0.024
HR 3435,,270.2456,-7.08731,-0.1,
HR 3436,,173.07814,38.12736,0.96,
HR 3437,,234.53699,19.43239,-0.02,
HR 3438,Bet Pyx,256.2365,3.90216,0.94,0.018
HR 3439,,260.19385,0.91327,-0.01,
HR 344,,129.55275,-46.95632,1.49,
HR 3440,,270.58567,-7.21929,-0.16,
HR 3441,9    Hya,240.62719,15.71366,1.06,0.032
HR 3442,,270.32717,-6.92049,-0.14,
HR 3443,,276.17475,-11.32888,0,0.013
HR 3444,,264.12339,-2.06051,1.65,
HR 3445,,265.28246,-2.94567,0.71,0.031
HR 3446,,237.26482,18.05456,0.16,
HR 3447,,270.25073,-6.80019,-0.18,
HR 3448,,270.32542,-6.85697,-0.14,
HR 3449,43Gam Cnc,204.16525,33.72671,0.02,0.016
HR 345,32    Cas,125.06946,2.23124,-0.09,
HR 3450,45    Cnc,213.80147,30.46096,0.39,
HR 3451,,185.71618,37.5856,,
HR 3452,,265.87372,-3.27406,0.12,0
HR 3453,,267.13432,-4.27218,-0.21,
HR 3454,7Eta Hya,223.25111,26.32046,-0.2,
HR 3455,,274.02183,-9.52932,0.2,0.022
HR 3456,,264.44352,-2.00598,0.21,
HR 3457,,275.8222,-10.85987,-0.11,
HR 3458,,222.4335,26.93607,-0.06,
HR 3459,,233.28974,20.97027,0.84,0.007
HR 346,32    Cet,137.48499,-71.24579,1.04,
HR 3460,The Vol,284.6806,-17.11623,0.01,0.006
HR 3461,47Del Cnc,208.02603,32.89869,1.08,0.025
HR 3462,,266.60136,-3.61399,-0.18,
HR 3463,,257.09473,3.97143,0.02,
HR 3464,46    Cnc,193.44988,36.70565,0.94,0.008
HR 3465,49    Cnc,216.71048,29.71038,-0.11,
HR 3466,,270.57904,-6.66636,-0.15,
HR 3467,,270.60023,-6.66178,-0.17,
HR 3468,Alp Pyx,254.99301,5.76947,-0.18,
HR 3469,10    Hya,221.23117,27.7944,0.2,
HR 347,33    Cet,132.53806,-60.06901,1.51,
HR 3470,,148.23405,36.2487,-0.11,
HR 3471,,272.72523,-8.2861,1.18,
HR 3472,,229.2802,23.78003,0.52,0.005
HR 3473,,245.46642,13.27981,0.22,
HR 3474,48Iot Cnc,195.87477,36.53843,0.04,0.017
HR 3475,48Iot Cnc,195.88315,36.54354,1.01,0.017
HR 3476,,268.10621,-4.4919,-0.2,
HR 3477,,262.54345,0.04624,0.87,0.051
HR 3478,,228.86164,24.21419,1.1,
HR 3479,,258.28175,3.53066,-0.15,
HR 348,45    And,127.2356,-24.98259,-0.1,0.003
HR 3480,,236.998,19.39411,1.61,
HR 3481,50    Cnc,214.84353,31.05471,0.11,
HR 3482,11Eps Hya,220.7184,28.52318,0.68,0.027
HR 3483,,249.04664,10.91427,0.08,
HR 3484,12    Hya,239.24746,18.0073,0.9,0.013
HR 3485,Del Vel,272.07833,-7.37065,0.04,0.051
HR 3486,,228.89026,24.55108,0.04,0.02
HR 3487,,265.38034,-1.83749,0,0.003
HR 3488,,261.58299,1.28605,-0.05,
HR 3489,,275.32865,-9.78076,-0.09,0.006
HR 349,82    Psc,127.84208,-31.2594,0.23,
HR 3490,,256.54368,5.40872,-0.13,
HR 3491,,283.06853,-15.52908,1.5,
HR 3492,13Rho Hya,221.52204,28.61849,-0.04,0.014
HR 3493,,233.31737,22.2556,1.28,
HR 3494,,265.33191,-1.69164,0.27,
HR 3495,,281.10096,-14.08733,0.2,
HR 3496,,265.60885,-1.73469,0.56,
HR 3497,,262.20986,1.08949,0.58,0.029
HR 3498,,273.89558,-8.41415,-0.17,
HR 3499,,190.52677,38.29448,0.49,
HR 35,The Scl,347.15728,-78.33908,0.44,0.034
HR 350,,298.04776,-59.25631,0.89,
HR 3500,14    Hya,230.6399,24.19336,-0.09,
HR 3501,,262.83007,0.70066,-0.2,
HR 3502,Eta Cha,292.4023,-21.65107,-0.1,
HR 3503,,270.91258,-5.83844,-0.1,
HR 3504,,207.87762,34.48404,-0.01,
HR 3505,5    UMa,153.83305,37.92992,0.28,
HR 3506,,157.4562,38.51832,,
HR 3507,,246.06118,14.25378,0.23,
HR 3508,35    Lyn,177.19202,39.64236,0.98,0.018
HR 3509,,175.13269,39.71022,1.26,
HR 351,84Chi Psc,129.1813,-41.59405,1.03,0.015
HR 3510,54    Cnc,211.80602,33.26345,0.64,
HR 3511,,179.43108,39.61528,1.25,
HR 3512,,255.49246,7.05219,0.87,0.028
HR 3513,,252.89767,9.15192,0.95,
HR 3514,,261.34472,2.27193,0.06,0.036
HR 3515,M 67,215.69207,31.90229,,
HR 3516,,252.27076,9.73207,-0.08,
HR 3517,,260.45706,3.04997,0.23,
HR 3518,Gam Pyx,251.57096,10.3247,1.27,0.033
HR 3519,51Sig1Cnc,191.64379,38.56961,0.22,
HR 352,83Tau Psc,128.12329,-32.57813,1.09,0.023
HR 3520,,265.22332,-0.86468,0.05,0.012
HR 3521,53    Cnc,196.87456,37.65614,1.62,0.001
HR 3522,55Rho1Cnc,196.79467,37.69888,0.87,0.074
HR 3523,15    Hya,234.39076,22.64345,0.15,0.011
HR 3524,,292.55049,-21.63154,0.23,
HR 3525,,262.79777,1.25278,-0.1,
HR 3526,,222.55416,29.25697,0.12,
HR 3527,,266.2521,-1.53611,-0.21,
HR 3528,,187.81314,39.34118,0.04,
HR 3529,,239.88298,19.4086,1.14,
HR 353,34    Cet,134.83983,-64.65278,1.4,
HR 3530,,263.24885,1.14855,0.04,
HR 3531,6    UMa,150.48473,37.60378,0.86,
HR 3532,57    Cnc,194.1091,38.54857,1.05,0.005
HR 3533,,255.62341,7.64459,1.46,
HR 3534,,258.79254,5.11937,0.56,
HR 3535,,260.49625,3.75476,1.5,
HR 3536,,274.99676,-8.43075,-0.11,
HR 3537,,282.27729,-14.17452,0.42,0.031
HR 3538,,233.20561,24.1641,0.67,0.085
HR 3539,,267.88835,-2.43,-0.15,
HR 354,,125.50404,-1.05739,0.01,
HR 3540,58Rho2Cnc,197.49609,38.25883,1,-0.005
HR 3541,,210.17524,34.93884,3.36,0.007
HR 3542,,270.80094,-4.83104,0,
HR 3543,,293.01799,-21.75868,1.6,
HR 3544,,287.05306,-17.64877,0.2,
HR 3545,,174.7083,40.52162,1.09,
HR 3546,,181.8392,40.32666,0.35,
HR 3547,16Zet Hya,222.3427,30.19845,1,0.035
HR 3548,,261.95156,2.80643,0.96,
HR 3549,,274.35018,-7.65769,-0.02,
HR 355,,126.81991,-17.37438,1.64,
HR 3550,60    Cnc,216.44606,32.85113,1.46,
HR 3551,,267.37329,-1.73829,0.26,0.019
HR 3552,17    Hya,235.69103,23.01052,,0.004
HR 3553,17    Hya,235.69199,23.0104,0.22,0.004
HR 3554,,244.53815,16.97048,1.32,
HR 3555,59Sig2Cnc,191.3003,39.55094,0.12,0.011
HR 3556,Del Pyx,252.25076,11.20596,0.11,0.037
HR 3557,,224.2432,29.6508,1,
HR 3558,,210.46235,35.29694,1,
HR 3559,,249.22,13.69168,0.16,
HR 356,,128.46648,-32.57582,1,
HR 3560,,277.32186,-9.91857,-0.08,
HR 3561,62Omi1Cnc,212.534,34.63724,0.15,
HR 3562,,265.64171,0.05435,-0.16,
HR 3563,61    Cnc,194.75686,39.2652,0.43,
HR 3564,,243.45854,18.15075,1.54,
HR 3565,63Omi2Cnc,212.28159,34.81184,0.2,
HR 3566,,187.63073,40.28807,-0.01,
HR 3567,,219.06492,32.27771,0.98,
HR 3568,,275.75087,-8.47485,-0.11,
HR 3569,9Iot UMa,171.51257,40.83602,0.19,0.075
HR 357,,124.07866,17.09412,0.42,
HR 3570,,273.23413,-6.35456,0.48,
HR 3571,,277.64816,-9.98351,-0.1,
HR 3572,65Alp Cnc,216.50975,33.51707,0.14,0.024
HR 3573,,227.14046,28.64806,0.06,
HR 3574,,271.61604,-4.78591,-0.12,0.02
HR 3575,64Sig3Cnc,192.05247,40.00596,0.93,
HR 3576,8Rho UMa,146.62934,37.23176,1.53,0.014
HR 3577,,209.54055,36.10831,1.55,-0.002
HR 3578,,243.30045,18.91173,0.53,0.028
HR 3579,,179.8041,41.18178,0.44,0.07
HR 358,,252.89574,-84.12779,0.48,
HR 3580,,185.33183,40.89572,,
HR 3581,,128.39252,30.44053,0.3,
HR 3582,,276.69565,-8.89797,-0.19,
HR 3583,,268.61812,-1.89893,1.07,
HR 3584,,246.01254,17.2207,0.46,
HR 3585,,253.66872,11.13012,1,
HR 3586,,182.56507,41.28457,0.3,
HR 3587,66    Cnc,192.3549,40.36416,0,
HR 3588,,267.70745,-0.90497,0.25,0.013
