hr,ra,dec,parallax
HR  2142,06 04 13.5003372120,-06 42 32.225392980,2.0004 
HR  2143,06 06 35.0975220648,+38 28 57.528452532,9.1085 
HR  2144,06 04 58.1829199344,+05 25 11.881065828,3.6471 
HR  2145,06 04 58.3589125872,+04 09 31.184861544,2.134 
HR  2146,06 06 22.4452938984,+29 30 44.683236504,3.7146 
HR  2147,06 07 26.7568740912,+41 51 15.416387604,3.523 
HR  2148,06 04 59.1294521328,-16 29 03.969238632,3.5742 
HR  2149,06 04 20.2652600736,-32 10 20.744923584,3.4702 
HR  2150,06 05 27.0321585168,-10 14 33.342700128,18.0793 
HR  2151,06 02 09.3350809800,-60 05 48.589999764,3.8587 
HR  2152,06 09 59.0135170848,+58 56 08.494481400,7.3457 
HR  2153,06 08 23.1360955056,+41 03 20.621443824,8.1943 
HR  2154,06 06 38.7363839832,-04 11 37.808375208,2.6007 
HR  2155,06 06 09.3238729536,-14 56 06.919393776,19.4991 
HR  2156,06 05 45.5496784008,-24 11 44.015025408,3.8975 
HR  2157,06 04 28.4392966104,-45 02 11.772746376,36.8531 
HR  2158,06 04 40.1012416848,-45 04 44.095415808,35.779 
HR  2159,06 07 34.3258759,+14 46 06.506096,6.32 
HR  2160,06 05 27.1785860376,-35 30 49.129028748,11.6885 
HR  2161,06 06 51.8899774752,-11 10 24.944086740,2.7642 
HR  2162,06 04 46.68146,-48 27 29.8706,33.33 
HR  2163,06 06 32.0963837952,-23 06 39.054140928,6.5957 
HR  2164,06 06 05.5392522384,-29 45 31.046623668,11.7258 
HR  2165,06 12 51.0625468800,+65 43 06.315969252,4.5905 
HR  2166,06 06 57.5128158144,-21 48 44.273545668,3.4302 
HR  2167,06 08 47.0322587592,+08 40 09.959999952,2.5733 
HR  2168,06 07 41.6381446608,-19 09 57.119590692,4.5821 
HR  2169,06 09 32.4369928752,+22 11 24.954033876,1.7811 
HR  2170,06 07 03.6694879368,-34 18 43.279841124,3.4337 
HR  2171,06 06 41.0439103368,-42 17 55.680598824,9.4828 
HR  2172,06 11 45.9130989312,+52 38 49.860971700,9.6389 
HR  2173,06 09 43.9852949424,+23 06 48.472220448,0.3878 
HR  2174,06 08 57.9037271424,+02 29 58.885200456,5.6327 
HR  2175,06 11 36.5527610136,+48 42 47.036470500,10.5899 
HR  2176,06 11 36.5917001808,+48 42 39.557130588,10.6629 
HR  2177,06 07 31.6328242248,-37 15 10.509229800,4.1731 
HR  2178,06 07 01.8916483176,-45 05 29.433174648,8.0698 
HR  2179,06 09 36.2520884448,-05 42 41.144379624,15.3342 
HR  2180,06 08 57.8693786976,-22 25 38.616147300,13.4579 
HR  2181,06 07 52.8595215384,-42 09 14.548286808,12.7569 
HR  2182,06 09 20.1982383456,-18 07 34.991942340,7.4916 
HR  2183,06 09 34.5239521104,-14 35 04.625125368,14.937 
HR  2184,06 11 01.7705545008,+18 07 49.663382772,1.8069 
HR  2185,06 11 32.3055155472,+24 25 12.911112444,6.1988 
HR  2186,06 09 47.9549223864,-22 46 27.623296236,22.0465 
HR  2187,06 08 34.6291807464,-44 21 22.365740196,3.8413 
HR  2188,06 13 45.3418058568,+51 10 20.889720552,8.5223 
HR  2189,06 12 20.1250774800,+32 41 36.173610600,4.0982 
HR  2190,06 11 51.4142883048,+21 52 05.653085916,0.4776 
HR  2191,06 11 27.9108306840,+13 38 18.821514984,6.4273 
HR  2192,06 09 47.1450198024,-26 42 03.906560880,7.2591 
HR  2193,06 12 01.3413962496,+19 47 25.949512824,3.0859 
HR  2194,06 06 09.3817676280,-66 02 22.635231936,9.5464 
HR  2195,06 11 01.2134997336,-06 45 15.177358584,5.398 
HR  2196,06 07 03.4067093808,-62 09 16.449639408,8.378 
HR  2197,06 12 19.0988355816,+22 54 30.653107164,0.5642 
HR  2198,06 12 03.2795497,+16 07 49.461443,6.17 
HR  2199,06 11 56.3969311,+14 12 31.555546,5.37 
HR  2200,06 10 34.6802665464,-27 09 15.633629136,8.4095 
HR  2201,06 15 40.5367282584,+59 59 56.272874532,4.9142 
HR  2202,06 11 43.7171543332,-04 39 55.602985022,3.4777 
HR  2203,06 10 10.4039398536,-40 21 13.646464092,3.9737 
HR  2204,06 09 23.4248226432,-49 33 46.191957228,16.3844 
HR  2205,06 11 51.8143365264,-06 33 01.020314772,3.0734 
HR  2206,06 11 13.6563920832,-26 28 55.554703716,3.8798 
HR  2207,06 13 33.2518246992,+18 40 49.239350184,4.8298 
HR  2208,06 13 12.5028624208,+10 37 37.712484445,53.7653 
HR  2209,06 18 50.7763037,+69 19 11.231041,18.64 
HR  2210,06 12 44.5945739856,-02 30 17.335091196,8.619 
HR  2211,06 10 39.9278644968,-45 16 55.159860828,4.8111 
HR  2212,06 10 17.9084822394,-54 58 07.114472168,2.1503 
HR  2213,06 12 46.3271308008,-17 45 47.628442764,3.0166 
HR  2214,06 14 28.58291,+17 54 22.8573,6.17 
HR  2215,06 17 54.8190724,+61 30 55.025075,5.11 
HR  2216,06 14 52.6452865329,+22 30 24.434377815,4.7312 
HR  2217,06 15 39.0081721536,+36 08 55.300273296,13.089 
HR  2218,06 13 54.2339540784,-03 44 28.935892248,9.8343 
HR  2219,06 15 22.6883791803,+29 29 53.075320396,18.2703 
HR  2220,06 14 50.8763445432,+19 09 23.212428948,45.9214 
HR  2221,06 08 44.2617842848,-68 50 36.282383871,11.5734 
HR  2222,06 15 08.4727512648,+13 51 03.959285616,2.5663 
HR  2223,06 15 25.1283615984,+16 08 35.395023048,7.758 
HR  2224,06 14 36.7027034832,-04 34 06.441226500,2.8588 
HR  2225,06 13 45.2953762392,-23 51 42.971547996,59.885 
HR  2226,06 13 33.4786900320,-29 23 44.662021404,3.7999 
HR  2227,06 14 51.3336645,-06 16 29.188011,6.55 
HR  2228,06 17 34.6465625088,+46 25 26.229076752,13.107 
HR  2229,06 15 44.9645074704,+12 33 03.852985464,2.343 
HR  2230,06 16 19.0467750168,+23 58 12.107696628,6.7712 
HR  2231,06 15 40.1766992112,+06 03 58.206616128,4.6484 
HR  2232,06 15 47.0134228488,+04 17 01.095049500,3.0975 
HR  2233,06 15 34.2651318984,-00 30 43.880774652,27.5211 
HR  2234,06 15 29.6730971640,-04 54 52.984684008,13.7806 
HR  2235,06 16 23.7924750432,+17 10 53.784436872,3.1338 
HR  2236,06 15 53.9777633972,+01 10 08.833180521,13.6168 
HR  2237,06 15 26.1486850,-09 02 08.740872,4.67 
HR  2238,06 19 37.3726318920,+59 00 39.531610256,20.4686 
HR  2239,06 18 16.8651781872,+46 21 37.594277568,8.5749 
HR  2240,06 16 58.7058631680,+23 44 27.284070336,0.5467 
HR  2241,06 16 26.6191067712,+12 16 19.787639592,51.0518 
HR  2242,06 15 08.4024258456,-20 16 19.864421076,4.4543 
HR  2243,06 15 17.7269578392,-18 28 38.066645892,16.0693 
HR  2244,06 15 44.8862849424,-13 43 06.290644188,8.1556 
HR  2245,06 11 14.9816489784,-65 35 21.904881180,4.5312 
HR  2246,06 16 21.0768716712,+01 04 49.252779120,2.1144 
HR  2247,06 17 06.6198800712,+09 56 32.614989288,12.1166 
HR  2248,06 16 58.4438254752,+07 03 09.272659104,2.6511 
HR  2249,06 16 07.6914321072,-16 37 04.823463504,3.2307 
HR  2250,06 17 33.3126856920,+14 03 31.238207352,4.1511 
HR  2251,06 17 16.1297031648,+05 05 59.904745548,51.6165 
HR  2252,06 15 57.1679109480,-29 47 18.323692872,2.7862 
HR  2253,06 18 05.6084374056,+14 22 58.295177004,3.7731 
HR  2254,06 17 03.5978753136,-22 42 54.831670740,24.8667 
HR  2255,06 17 35.1250543368,-10 43 29.969702904,3.8659 
HR  2256,06 16 33.1354849246,-35 08 25.854360482,17.3842 
HR  2257,06 22 03.55145,+59 22 19.5527,6.57 
HR  2258,06 19 01.8426917616,+17 19 30.943758540,4.0642 
HR  2259,06 18 40.3593841200,+09 02 49.812626868,9.823 
HR  2260,06 17 41.7240354840,-16 48 57.271233024,5.5085 
HR  2261,06 10 14.4725823672,-74 45 10.958331816,97.9158 
HR  2262,06 16 35.5880287008,-39 15 51.815227212,8.2575 
HR  2263,06 17 01.2313930584,-37 44 14.805581244,11.4725 
HR  2264,06 21 46.1303030544,+53 27 07.838642844,16.2503 
HR  2265,06 17 09.5630669904,-37 15 12.789463932,15.9651 
HR  2266,06 18 13.7284799088,-19 58 01.104891276,3.4972 
HR  2267,06 18 50.5825087872,-09 23 24.065629152,6.6189 
HR  2268,06 18 48.7913241312,-15 01 29.858749896,3.1112 
HR  2269,06 20 04.2239782152,+14 39 04.066374096,4.7705 
HR  2270,06 19 07.9318229952,-08 35 09.646068048,6.675 
HR  2271,06 18 58.9754195280,-20 55 32.195115768,2.1926 
HR  2272,06 21 11.9168537280,+29 32 26.981298060,8.2708 
HR  2273,06 19 42.8000378856,-07 49 22.461305592,2.6645 
HR  2274,06 16 18.7856158311,-59 12 48.609682671,27.7563 
HR  2275,06 19 59.6005930,-02 56 40.176553,7.02 
HR  2276,06 20 52.1159090784,+11 45 22.400298648,1.1743 
HR  2277,06 21 25.9193888928,+17 45 48.471792732,6.6198 
HR  2278,06 17 51.7446031392,-52 43 58.912012128,3.1821 
HR  2279,06 19 40.9567510896,-34 23 47.727053376,7.9508 
HR  2280,06 21 25.7704520,+02 16 06.678015,10.83 
HR  2281,06 18 46.7864729736,-50 21 32.764837176,1.0617 
HR  2282,06 20 18.7920398,-30 03 48.120242,9.00 
HR  2283,06 15 06.0181156872,-71 42 09.953185356,30.7688 
HR  2284,06 21 24.7165403448,-11 46 23.666159604,1.8635 
HR  2285,06 28 14.48466,+70 32 07.1482,5.62 
HR  2286,06 22 57.62686,+22 30 48.8979,14.08 
HR  2287,06 22 36.3924256056,+12 34 12.853157052,15.5814 
HR  2288,06 20 36.2397908688,-34 08 38.916868416,1.7701 
HR  2289,06 24 53.9015502096,+49 17 16.411221960,0.4426 
HR  2290,06 20 06.13530,-48 44 27.9344,39.79 
HR  2291,06 26 25.8366305040,+56 17 06.346261104,12.4161 
HR  2292,06 23 18.4918270464,+03 45 52.163166492,3.4909 
HR  2293,06 26 48.8723033424,+58 25 02.668882368,5.2233 
HR  2294,06 22 41.9853527,-17 57 21.307352,6.62 
HR  2295,06 23 22.7943154272,-04 41 15.021358764,8.0984 
HR  2296,06 22 06.8249488320,-33 26 11.036211216,15.049 
HR  2297,06 24 52.7522713056,+29 42 25.411529052,3.4386 
HR  2298,06 23 46.0854171912,+04 35 34.376500932,24.0777 
HR  2299,06 23 46.4858893296,+04 35 45.135912588,25.0633 
HR  2300,06 24 02.2831053408,+08 53 06.046437120,4.0113 
HR  2301,06 23 35.9180335536,-09 52 29.027293788,1.3719 
HR  2302,06 24 52.7706689088,+16 03 25.666514856,7.7479 
HR  2303,06 23 46.1442648144,-15 04 16.513100148,1.8458 
HR  2304,06 25 32.9388936912,+23 19 37.803883476,6.0929 
HR  2305,06 24 10.3194109992,-11 31 48.315467532,8.2768 
HR  2306,06 23 47.65388,-19 47 07.4067,2.43 
HR  2307,06 23 14.4738355464,-31 47 25.133709840,8.9599 
HR  2308,06 25 28.1742350712,+14 43 19.172149392,1.3544 
HR  2309,06 24 20.5774906032,-12 57 42.963623424,2.5024 
HR  2310,06 25 12.9996760920,+07 05 08.558582892,0.7141 
HR  2311,06 23 55.9138259808,-25 34 39.473810976,3.8507 
HR  2312,06 25 18.4798574880,+01 30 05.452636068,2.4453 
HR  2313,06 25 16.5462760045,-00 56 45.178443827,30.4103 
HR  2314,06 27 50.9705383176,+47 24 17.725600908,8.7669 
HR  2315,06 25 46.5280322304,+02 16 18.035236920,6.4268 
HR  2316,06 24 01.0098891672,-36 42 27.947549016,10.1487 
HR  2317,06 25 47.1335331792,-03 53 20.453892720,3.7005 
HR  2318,06 24 43.8795895848,-28 46 48.415725948,45.6782 
HR  2319,06 27 35.5217971632,+32 33 46.606115448,5.5497 
HR  2320,06 22 55.8302200968,-56 22 11.880632820,18.2221 
HR  2321,06 25 58.8275256120,-07 53 41.941657824,5.8229 
HR  2322,06 23 37.7887883088,-52 10 51.280615920,9.2808 
HR  2323,06 24 44.4964787136,-40 17 02.325027516,6.3061 
HR  2324,06 26 39.5898504432,-01 30 26.399108160,13.5976 
HR  2325,06 26 34.4437338912,-04 35 50.630803548,2.8143 
HR  2326,06 23 57.10988,-52 41 44.3810,10.55 
HR  2327,06 26 58.8238881600,+00 50 27.755470788,5.7849 
HR  2328,06 26 44.8518087216,-07 30 42.985244628,8.6762 
HR  2329,06 25 30.0055270176,-35 03 50.940221400,5.9555 
HR  2330,06 27 56.6713747560,+20 29 46.755250332,5.2753 
HR  2331,06 30 47.1075901469,+58 09 45.479816893,18.2183 
HR  2332,06 28 34.0881845487,+30 29 34.929596860,1.8153 
HR  2333,06 27 20.4505611720,+02 54 29.836279548,10.7647 
HR  2334,06 27 13.7610764376,+00 17 57.279117408,3.8856 
HR  2335,06 27 15.5912403408,-00 16 33.605120892,5.0387 
HR  2336,06 23 46.9272237288,-58 32 37.939822368,10.0072 
HR  2337,06 23 01.4542310112,-63 40 59.285804520,2.8437 
HR  2338,06 30 02.9737870536,+46 41 07.996903980,4.856 
HR  2339,06 28 56.3835240120,+26 58 02.841802608,21.6664 
HR  2340,06 28 28.0538658984,+16 14 18.185214912,13.6613 
HR  2341,06 24 48.3457328064,-52 48 22.453949808,2.4807 
HR  2342,06 28 18.8126498568,+10 18 14.023853748,11.8796 
HR  2343,06 28 57.7861342,+20 12 43.685624,5.99 
HR  2344,06 27 57.5686511,-04 45 43.752881,3.00 
HR  2345,06 24 13.8423772968,-60 16 52.762590552,10.7891 
HR  2346,06 40 16.5961323360,+79 35 58.252482384,7.0637 
HR  2347,06 28 16.7675500392,+01 54 45.642111408,6.1241 
HR  2348,06 25 43.65308,-48 10 36.8367,5.55 
HR  2349,06 27 11.3646632904,-25 51 23.392496052,34.0257 
HR  2350,06 44 30.3549214800,+82 06 55.203742728,13.6661 
HR  2351,06 29 00.1565779104,+11 01 09.300262404,17.3842 
HR  2352,06 22 38.2757577456,-69 59 02.560486776,4.9606 
HR  2353,06 27 07.5842635056,-37 53 43.815227676,20.0634 
HR  2354,06 24 26.6002796856,-63 25 44.439432744,31.216 
HR  2355,06 29 14.8115561256,+02 38 46.302988992,3.893 
HR  2356,06 28 49.0704018024,-07 01 59.013827328,4.7209 
HR  2357,06 28 49.4226039089,-07 02 03.840805418,4.8943 
HR  2358,06 28 49.6129675416,-07 02 04.752049668,4.7504 
HR  2359,06 28 37.4195858760,-17 27 57.637738440,7.27 
HR  2360,06 24 55.7976148920,-63 49 41.314485720,4.566 
HR  2361,06 28 10.2074721,-32 34 48.245488,7.70 
HR  2362,06 30 05.5978019112,+09 01 46.970251608,1.0711 
HR  2363,06 40 28.8770145504,+77 59 44.817887976,4.4952 
HR  2364,06 28 39.24252,-32 22 16.5985,3.78 
HR  2365,06 37 54.9239228760,+73 41 43.931691420,24.7684 
HR  2366,06 31 09.9927443640,+16 56 19.074483276,8.9291 
HR  2367,06 30 11.2762714128,-10 04 53.445514224,2.6741 
HR  2368,06 28 42.4110188208,-41 04 29.489745036,13.5342 
HR  2369,06 27 04.1367673632,-58 00 07.626931236,6.2121 
HR  2370,06 31 09.5621343984,+11 15 04.953226644,1.4952 
HR  2371,06 31 37.4351051160,+15 54 12.614494752,7.2354 
HR  2372,06 32 27.1847665440,+32 27 17.632429092,11.1431 
HR  2373,06 30 34.8860922360,-13 08 53.425211676,2.1584 
HR  2374,06 31 39.3798829272,+11 47 32.175475836,3.2255 
HR  2375,06 31 48.2987358312,+11 32 39.882359940,15.3983 
HR  2376,06 34 32.8001454240,+55 21 10.955840508,3.3055 
HR  2377,06 25 28.6306869576,-69 41 25.080005724,11.7563 
HR  2378,06 32 23.2752348648,+11 40 24.661269516,5.0077 
HR  2379,06 31 23.0456154408,-12 23 31.109679528,8.5237 
HR  2380,06 30 46.2847122360,-27 46 10.487891388,2.9719 
HR  2381,06 31 50.0642140848,-08 09 29.599145856,4.4027 
HR  2382,06 32 19.2038948568,+04 51 21.593785608,7.0553 
HR  2383,06 33 42.6490858464,+33 01 26.543941680,7.5519 
HR  2384,06 29 49.06454,-50 14 20.6831,19.44 
HR  2385,06 32 54.2279021568,+07 19 58.690911432,1.2159 
HR  2386,06 32 23.1292581312,-05 52 07.748007780,22.6861 
HR  2387,06 31 51.3663578,-23 25 06.318090,2.36 
HR  2388,06 31 13.0934459928,-35 15 31.886162784,4.5915 
HR  2389,06 29 28.4981358720,-56 51 09.960678828,10.2438 
HR  2390,06 30 59.8946037192,-40 54 58.510786464,5.5502 
HR  2391,06 33 36.1644321600,+14 09 18.592915464,11.3645 
HR  2392,06 32 46.8731198040,-11 09 58.987412460,5.0237 
HR  2393,06 31 34.9477562544,-36 56 24.085320864,3.5499 
HR  2394,06 37 41.3855533640,+61 28 52.448021750,19.8541 
HR  2395,06 33 37.9213970040,-01 13 12.553237092,5.6982 
HR  2396,06 40 32.2525521672,+71 44 55.629570336,4.1248 
HR  2397,06 32 38.9776409232,-32 01 49.593507780,1.3656 
HR  2398,06 35 12.0621641448,+28 01 20.318894148,7.4302 
HR  2399,06 32 21.3775381416,-37 41 48.205327596,11.4692 
HR  2400,06 31 18.3309320376,-51 49 33.456173988,27.1217 
HR  2401,06 46 14.1499571048,+79 33 53.318552995,54.9380 
HR  2402,06 37 38.3871354264,+56 51 27.109138716,8.4941 
HR  2403,06 33 26.6658795576,-20 55 26.290608024,9.3903 
HR  2404,06 34 46.3180402296,+07 34 20.935853400,4.565 
HR  2405,06 36 32.8371036984,+38 26 43.819021608,2.0387 
HR  2406,06 35 17.5965875184,+09 59 18.012591168,2.416 
HR  2407,06 33 10.2395061432,-38 37 30.673955244,6.688 
HR  2408,06 30 03.0102364392,-65 34 05.667861468,9.7937 
HR  2409,06 35 15.8285310432,+00 53 24.785166300,1.302 
HR  2410,06 31 10.6394657016,-61 52 46.353318096,2.2332 
HR  2411,06 33 49.4800601424,-36 13 55.295070384,7.9846 
HR  2412,06 31 58.3101113280,-58 45 13.811376348,5.3553 
HR  2413,06 36 00.1056726360,+04 29 52.899086112,2.1166 
HR  2414,06 35 03.3875525904,-22 57 53.263500084,8.0342 
HR  2415,06 34 35.3308813248,-32 42 58.510728000,5.8754 
HR  2416,06 33 26.2817822664,-52 19 45.234790788,5.0287 
HR  2417,06 37 27.2879214528,+24 35 27.075687756,5.9853 
HR  2418,06 36 35.3296522656,-05 12 40.103033112,4.3762 
HR  2419,06 38 39.5367886320,+39 23 27.064036212,6.9702 
HR  2420,06 38 49.1803993848,+39 54 09.214299684,3.6617 
HR  2421,06 37 42.71050,+16 23 57.4095,29.84 
HR  2422,06 37 24.0420854544,+06 08 07.369104444,0.7615 
HR  2423,06 36 22.8522425424,-18 39 35.654346504,11.5857 
HR  2424,06 35 24.21831,-36 46 47.5626,6.40 
HR  2425,06 38 23.0105318280,+28 59 03.615135864,8.2744 
HR  2426,06 37 36.8942454120,+10 51 11.862018144,5.6422 
HR  2427,06 39 19.8272357400,+42 29 19.955674680,8.0927 
HR  2428,06 36 46.5980539440,-13 19 15.676516164,4.7364 
HR  2429,06 36 41.0376788353,-19 15 21.169452656,48.8490 
HR  2430,06 37 40.3262702688,+02 42 14.974801236,6.7114 
HR  2431,06 35 54.02940,-36 05 19.0784,25.25 
HR  2432,06 37 52.7038930896,+04 57 24.003132228,0.2143 
HR  2433,06 36 41.0641031957,-22 36 53.035010142,3.2979 
HR  2434,06 39 57.8859289488,+44 00 50.809477068,4.7012 
HR  2435,06 34 58.5799290,-52 58 32.191880,2.39 
HR  2436,06 39 05.3008778112,+22 01 51.177774396,8.7315 
HR  2437,06 37 40.7934964800,-12 59 06.422813988,11.9187 
HR  2438,06 39 33.11965,+28 15 47.2740,3.87 
HR  2439,06 39 31.4833699464,+24 36 00.588535632,27.6925 
HR  2440,06 38 20.4553974624,-02 32 38.024624076,4.6345 
HR  2441,06 38 49.4044499256,+04 42 02.235939876,2.6212 
HR  2442,06 38 38.1872868432,+01 36 48.675208608,0.5903 
HR  2443,06 37 53.4213820872,-18 14 14.930466036,6.7876 
HR  2444,06 37 01.8884868120,-38 08 47.413461552,7.8474 
HR  2445,06 36 51.2730813480,-41 33 25.698995352,1.835 
HR  2446,06 37 13.8352632483,-36 59 26.337386346,2.9218 
HR  2447,06 37 47.6181076691,-32 20 23.040481884,7.9902 
HR  2448,06 38 35.4258326352,-16 52 24.767603652,6.3975 
HR  2449,06 39 47.7171668688,+12 58 57.971257680,11.159 
HR  2450,06 39 16.7194330944,-14 08 44.742752700,3.1086 
HR  2451,06 37 45.6713527,-43 11 45.360171,8.78 
HR  2452,06 41 37.7593700520,+35 55 54.912945396,15.4344 
HR  2453,06 41 20.8975543776,+28 11 47.904494928,1.5068 
HR  2454,06 40 31.9464201288,+06 22 16.506295536,3.6067 
HR  2455,06 39 36.2255907432,-23 41 44.483235792,5.1116 
HR  2456,06 40 58.65963,+09 53 44.7229,3.55 
HR  2457,06 41 21.9414661248,+16 23 51.549879156,3.2943 
HR  2458,06 41 17.2192865664,+11 00 11.523214224,2.5416 
HR  2459,06 43 04.9720763016,+44 31 28.018081668,10.1086 
HR  2460,06 39 42.6605300136,-30 28 13.765907820,13.4251 
HR  2461,06 41 05.4409639536,+00 29 43.160425584,2.9287 
HR  2462,06 38 37.6357344120,-48 13 12.661228668,6.6547 
HR  2463,06 44 11.5119379080,+53 17 45.375233028,12.6417 
HR  2464,06 43 13.7425582896,+37 08 50.557664292,7.003 
HR  2465,06 39 56.9171361144,-38 09 32.389322184,7.3128 
HR  2466,06 42 24.3272435853,+17 38 43.086480602,20.3512 
HR  2467,06 41 59.2308626256,+06 20 43.532571372,0.7632 
HR  2468,06 38 00.3532489704,-61 32 00.114167796,45.7052 
HR  2469,06 41 56.3852602680,-09 10 03.125210916,9.5111 
HR  2470,06 46 14.13019,+59 26 30.0227,15.19 
HR  2471,06 44 12.5228062488,+36 06 33.330223296,4.146 
HR  2472,06 44 12.1094502816,+29 56 41.815181355,0.1994 
HR  2473,06 43 55.9262590,+25 07 52.051484,3.86 
HR  2474,06 43 06.6140466408,+03 02 01.682102004,4.544 
HR  2475,06 41 14.1695374056,-40 20 59.448901020,3.5624 
HR  2476,06 40 49.4679744600,-47 40 28.901726040,2.8624 
HR  2477,06 46 49.5102734664,+57 10 09.032912364,14.9076 
HR  2478,06 43 59.2871476656,+13 13 40.799645724,10.3816 
HR  2479,06 43 38.6456583720,+03 55 57.109225980,0.7433 
HR  2480,06 44 45.4597898664,+28 58 15.380333472,5.5428 
HR  2481,06 42 46.0439059320,-22 26 54.936081132,20.5067 
HR  2482,06 42 16.38015,-38 23 55.6444,12.06 
HR  2483,06 46 44.3369350032,+43 34 38.728429752,60.2024 
HR  2484,06 45 17.3643205,+12 53 44.131127,55.56 
HR  2485,06 48 12.2922995688,+55 42 15.091855236,23.4213 
HR  2486,06 48 12.8218057224,+55 42 16.142701644,23.4978 
HR  2487,06 47 39.5758906536,+48 47 22.143754212,8.0121 
HR  2488,06 43 23.3539952016,-39 11 35.203771716,6.4016 
HR  2489,06 45 54.1991233128,+12 41 36.828178944,1.0417 
HR  2490,06 50 57.0890928144,+67 34 18.963203232,4.1676 
HR  2491,06 45 08.91728,-16 42 58.0171,379.21 
HR  2492,06 44 28.4671043496,-31 04 13.892357820,1.6454 
HR  2493,06 44 51.9521598096,-27 20 30.001293240,37.1734 
HR  2494,06 46 32.4145190352,+08 35 13.767386136,3.3288 
HR  2495,06 45 23.3639015376,-23 27 44.754032412,6.9085 
HR  2496,06 48 21.8,+41 03 36,1.896 
HR  2497,06 45 02.5570185216,-30 35 11.060253060,3.2671 
HR  2498,06 45 59.3941106448,-14 47 46.064471028,8.0067 
HR  2499,06 47 23.45678,+18 11 36.4333,5.66 
HR  2500,06 45 22.9403936275,-31 47 37.133210127,41.7838 
HR  2501,06 45 31.1887692456,-30 56 56.329692216,1.65 
HR  2502,06 46 39.0161015760,-10 06 26.495075592,5.8999 
HR  2503,06 47 19.8301708488,+08 02 14.122870224,6.3783 
HR  2504,06 46 51.0923173488,-14 25 33.511738908,3.6298 
HR  2505,06 40 57.6024401064,-71 46 30.687237696,7.1467 
HR  2506,06 47 51.6478856352,+02 24 43.835011128,8.2744 
HR  2507,06 46 03.2205665160,-39 32 24.919285344,3.6272 
HR  2508,06 47 37.2209781792,-08 59 54.609791028,1.102 
HR  2509,06 47 01.4835271104,-21 00 55.451696472,4.6155 
HR  2510,06 46 12.1494382608,-37 46 31.166523516,2.162 
HR  2511,06 53 42.2482692144,+68 53 17.919625020,3.5172 
HR  2512,06 49 41.3134679544,+32 36 24.334958160,7.4397 
HR  2513,06 45 26.0552655720,-52 12 03.325840704,0.8749 
HR  2514,06 48 19.0662941232,-01 19 08.124232296,24.9902 
HR  2515,06 45 53.7176421312,-52 24 34.887188124,1.9395 
HR  2516,06 50 45.9432814968,+41 46 52.429971900,9.6073 
HR  2517,06 49 03.6560827200,+01 00 07.442689536,1.3235 
HR  2518,06 47 21.3992813088,-37 55 46.910018928,10.1629 
HR  2519,06 49 49.8362378064,+16 12 10.382708016,4.8578 
HR  2520,06 53 05.0484585,+59 26 54.751889,6.70 
HR  2521,06 49 16.4057835624,-02 16 19.370394984,2.5134 
HR  2522,06 48 57.73663,-15 08 41.0004,6.17 
HR  2523,06 46 52.6732787832,-51 15 56.404306512,3.515 
HR  2524,06 46 41.6529091266,-54 41 42.103186027,7.4429 
HR  2525,06 50 25.4986536600,+13 24 47.443384116,2.702 
HR  2526,06 47 18.7083113184,-55 32 23.964004428,4.7458 
HR  2527,07 00 04.0371845062,+76 58 38.671049122,17.0753 
HR  2528,06 49 44.00154,-24 04 33.8440,4.07 
HR  2529,06 51 33.0463828992,+21 45 40.123048212,7.6158 
HR  2530,06 50 49.8309774552,-00 32 27.167495244,33.5335 
HR  2531,06 43 36.7554717744,-73 07 05.551245732,7.1106 
HR  2532,06 53 07.5785390712,+44 50 23.778287088,10.0833 
HR  2533,06 51 59.9861723112,+23 36 06.199162452,7.2748 
HR  2534,06 50 42.3030217728,-08 02 27.587802588,9.8371 
HR  2535,06 50 21.7684047864,-17 05 04.388363808,1.3356 
HR  2536,06 44 55.6456438368,-70 26 01.527171828,4.6072 
HR  2537,06 50 05.9687361672,-27 20 02.286992544,1.1804 
HR  2538,06 49 50.4593263,-32 30 30.522482,4.95 
HR  2539,06 53 01.4109708528,+38 52 08.932247436,6.7702 
HR  2540,06 52 47.3388625619,+33 57 40.524337771,16.8701 
HR  2541,06 53 13.4042092427,+38 26 16.874211509,16.5788 
HR  2542,06 53 03.5406315024,+35 47 16.795509828,3.8288 
HR  2543,06 51 39.3767175696,+03 02 31.170044148,9.5394 
HR  2544,06 50 36.9593160984,-25 46 42.219563736,2.1544 
HR  2545,06 50 23.3482557912,-31 42 21.808309320,5.1421 
HR  2546,06 49 57.7030055568,-45 27 01.462620060,5.5804 
HR  2547,06 53 57.0730252080,+38 30 18.068782932,4.8897 
HR  2548,06 49 54.6163443500,-46 36 52.421710574,39.6665 
HR  2549,06 50 52.3516239000,-34 22 02.346072600,3.637 
HR  2550,06 48 11.45512,-61 56 29.0008,33.78 
HR  2551,06 52 49.4708324568,+08 22 49.429526880,16.2936 
HR  2552,06 52 22.8621502968,-05 18 58.596879636,6.3173 
HR  2553,06 49 56.1691452909,-50 36 52.339311041,18.7577 
HR  2554,06 49 51.3141446,-53 37 20.818154,5.99 
HR  2555,06 53 22.3986488232,+10 59 47.953481856,8.5192 
HR  2556,06 55 15.1864996344,+45 49 35.074107192,8.6363 
HR  2557,06 55 14.6581261872,+43 54 36.105215040,3.3542 
HR  2558,06 51 42.4207334784,-36 13 48.979898580,18.1435 
