hr,ra,dec,parallax
HR    99,00 26 17.05140,-42 18 21.5539,38.50 
HR   100,00 26 12.2013436436,-43 40 47.390371480,41.7228 
HR   101,00 26 37.4150592,-00 02 58.312256,7.23 
HR   102,00 27 14.7075649704,-25 32 49.824468996,5.3195 
HR   103,00 28 02.9147612952,+17 53 35.257375248,6.0025 
HR   104,00 28 13.6693451904,+44 23 40.089451956,12.7377 
HR   105,00 27 55.6978213752,-33 00 25.797481668,5.8984 
HR   106,00 28 12.7028998704,+16 26 42.245708064,3.0731 
HR   107,00 28 20.0424818616,+10 11 23.297664120,26.2526 
HR   108,00 28 21.09548,-20 20 06.1774,31.06 
HR   109,00 28 26.5213084992,-39 54 53.997198336,7.4208 
HR   110,00 28 56.6629229880,+36 53 58.896016764,5.4234 
HR   111,00 28 43.1263371192,-50 31 58.285251732,8.4969 
HR   112,00 30 55.0787717183,+77 01 09.857050884,26.1414 
HR   113,00 30 19.9344223392,+59 58 39.189476856,3.2021 
HR   114,00 30 07.3651144632,+29 45 05.608065024,16.0963 
HR   115,00 29 51.8970081864,-14 51 50.792078448,23.4821 
HR   116,00 29 49.0020708768,-32 06 57.527255628,4.5451 
HR   117,00 30 02.3584197912,-03 57 26.377933896,5.7713 
HR   118,00 30 22.6550793792,-23 47 15.653410224,18.5351 
HR   119,00 30 27.8252358240,-40 56 22.504091136,7.4361 
HR   120,00 30 26.0632693104,-48 12 53.355477672,19.5006 
HR   121,00 31 25.2291503064,+66 31 10.621018128,3.8917 
HR   122,00 31 25.6378600944,+33 34 53.891674248,8.5954 
HR   123,00 31 46.3593467,+54 31 20.225689,8.64 
HR   124,00 31 41.1571969176,+52 50 22.301154708,9.6922 
HR   125,00 31 24.9810454848,-48 48 12.651311736,18.4705 
HR   126,00 31 32.6680562275,-62 57 29.582843542,22.8384 
HR   127,00 31 33.4223046159,-62 57 56.133914894,19.5923 
HR   128,00 32 26.8026813,+43 29 41.254571,4.53 
HR   129,00 33 19.2656656224,+70 58 54.677413200,6.7567 
HR   130,00 32 59.9911963,+62 55 54.417374,0.73 
HR   131,00 32 35.4848082672,+20 17 39.543706680,11.7438 
HR   132,00 32 23.7789405384,+06 57 19.747317924,10.1557 
HR   133,00 32 34.5646631568,+27 34 50.721986532,4.3978 
HR   134,00 32 49.0860906288,+28 16 48.867236220,6.077 
HR   135,00 33 10.3944926208,+54 53 41.949623868,9.1205 
HR   136,00 32 43.9053745704,-63 01 53.402028960,21.6794 
HR   137,00 34 24.9193190280,+66 45 01.217783160,4.8558 
HR   138,00 33 41.0413872624,-29 33 29.799003996,6.228 
HR   139,00 33 23.3592313752,-71 15 58.480429176,7.1423 
HR   140,00 34 27.8315994480,-52 22 23.129463108,38.8246 
HR   141,00 34 55.3632249432,+13 22 16.103047332,7.4745 
HR   142,00 35 14.87968,-03 35 34.2367,47.05 
HR   143,00 35 32.8334053776,-00 30 20.198722752,17.4181 
HR   144,00 36 08.3101957104,+54 10 06.419675676,6.6398 
HR   145,00 35 54.8017196664,+13 12 25.451468496,24.6069 
HR   146,00 36 27.3446327760,+60 19 34.367545740,1.0737 
HR   147,00 35 41.1754684944,-48 00 03.264963408,28.4456 
HR   148,00 35 33.3389732928,-54 49 18.738166440,13.8605 
HR   149,00 36 20.0978696376,+27 15 17.140991436,4.5285 
HR   150,00 36 03.1561492272,-14 58 22.920611628,7.5677 
HR   151,00 36 06.8571256392,-22 50 32.407294128,19.751 
HR   152,00 36 46.4410654008,+44 29 18.920176764,4.724 
HR   153,00 36 58.2841866,+53 53 48.867311,5.50 
HR   154,00 36 52.8492565,+33 43 09.638398,5.45 
HR   155,00 36 47.3110003896,+15 13 54.190332948,3.5167 
HR   156,00 37 07.1897660016,+24 00 50.901018588,8.8285 
HR   157,00 37 21.2197453944,+35 23 58.210707084,3.1952 
HR   158,00 39 47.2501746408,+82 29 37.546148904,30.4324 
HR   159,00 37 20.71960,-24 46 02.1843,64.93 
HR   160,00 36 37.6502515056,-65 07 28.006167216,4.6499 
