hr,alt_name,ra,dec,bv_color,parallax
1,,1.2912,45.2292,0.07,
2,,1.2658,-0.5031,1.1,
3,33    Psc,1.3338,-5.7075,1.04,0.014
4,86    Peg,1.425,13.3961,0.9,
5,,1.5667,58.4367,0.67,0.047
6,,1.5792,-49.075,0.52,0.05
7,10    Cas,1.6104,64.1961,-0.03,
8,,1.6533,29.0214,0.75,0.067
9,,1.7088,-23.1075,0.38,
10,,1.8258,-17.3864,0.14,
11,,1.9338,-2.5489,-0.14,
12,,1.945,-22.5089,0.14,
13,,2.0146,-33.5294,1.12,
14,,2.0504,-2.4478,1.38,
15,21Alp And,2.0971,29.0906,-0.11,0.032
16,,2.0725,-8.8239,1.04,
17,,2.1708,36.6267,0.48,0.044
18,,2.1392,-17.5775,1.67,
19,,2.2175,25.4628,0.97,
20,,2.3342,79.7147,0.19,0.002
21,11Bet Cas,2.2946,59.1497,0.34,0.072
22,87    Peg,2.26,18.2119,1.04,
23,,2.26,-54.0019,0.74,0.009
24,Kap1Scl,2.3375,-27.9878,0.42,0.023
25,Eps Phe,2.3529,-45.7475,1.03,0.066
26,34    Psc,2.5096,11.1456,-0.07,0.017
27,22    And,2.5804,46.0722,0.4,-0.002
28,,2.6237,57.1656,-0.08,
29,,2.5783,-5.2486,0.98,
30,Gam3Oct,2.5087,-82.2239,1.05,
31,,2.6783,-12.58,1.01,
32,,2.6608,-73.2244,0.37,
33,6    Cet,2.8163,-15.4681,0.49,0.067
34,Kap2Scl,2.8933,-27.7997,1.34,
35,The Scl,2.9333,-35.1331,0.44,0.034
36,,2.9962,48.1525,1.45,
37,,3.0417,-17.9383,1.48,-0.015
38,,3.21,37.6933,-0.13,
39,88Gam Peg,3.3092,15.1836,-0.23,-0.002
40,,3.35,26.9872,0.65,0.006
41,23    And,3.3783,41.0353,0.31,0.024
42,,3.4254,-26.0219,1.55,
43,,3.4342,-26.2847,1.48,
44,,3.5096,33.2061,-0.01,
45,89Chi Peg,3.6508,20.2067,1.57,0.015
46,,3.615,-7.7806,1.62,0.003
47,,3.3308,-84.9942,1.72,
48,7    Cet,3.66,-18.9328,1.66,0.029
49,,3.7338,22.2842,-0.01,
50,35    Psc,3.745,8.8208,0.31,0.017
51,,3.7271,-9.5697,-0.08,
52,,3.7792,31.5358,,
53,,3.7942,27.2831,-0.02,
54,,3.7425,-34.9044,1.34,
55,,4.0583,76.9508,-0.07,0.013
56,,4.09,43.5947,0.05,
57,,4.0371,-31.4464,1.35,
58,,3.98,-75.9114,1,
59,36    Psc,4.1421,8.24,0.92,
60,,4.2379,61.5333,0.88,
61,,4.1771,-20.2106,-0.09,
62,,4.2879,47.9475,-0.09,
63,24The And,4.2729,38.6817,0.06,0.022
64,,4.2042,-78.7806,0.46,
65,,4.4292,51.4331,-0.13,
66,,4.3858,-19.0511,0.37,
67,,4.4488,1.6889,0.94,
68,25Sig And,4.5821,36.7853,0.05,0.023
69,,4.5717,11.2058,1.03,
70,26    And,4.6754,43.7911,-0.08,
71,,4.6596,31.5172,-0.01,
72,,4.6742,-8.0528,0.68,0.053
73,,4.6775,-43.2353,1.21,
74,8Iot Cet,4.8571,-8.8239,1.22,0.013
75,,4.9233,40.7297,1.18,
76,,5.0217,48.8653,,
77,Zet Tuc,5.0179,-64.8747,0.58,0.134
78,,5.1017,30.9358,-0.1,
79,,5.1896,32.9114,1.59,
80,41    Psc,5.1496,8.1903,1.34,
81,,5.2271,10.9769,,0.005
82,27Rho And,5.2804,37.9686,0.42,0.017
83,Pi  Tuc,5.1625,-69.625,-0.05,0.011
84,Iot Scl,5.38,-28.9817,1,0.027
85,,5.4429,-20.0578,1.82,
86,42    Psc,5.6062,13.4825,1.22,
87,,5.3692,-77.4269,1.4,
88,9    Cet,5.7158,-12.2094,0.66,0.049
89,,5.8025,-31.0361,0,
90,,6.0083,38.5772,1.97,
91,,6.065,52.02,-0.12,0.004
92,NOVA 1572,6.32458,64.14333,,
93,12    Cas,6.1979,61.8311,0,0.015
94,,6.1238,-2.2192,1.22,
95,47    Tuc,6.02417,-72.08111,,
96,,6.2767,53.0469,-0.06,
97,44    Psc,6.3508,1.9397,0.86,
98,Bet Hyi,6.4379,-77.2542,0.62,0.153
99,Alp Phe,6.5708,-42.3061,1.09,0.035
100,Kap Phe,6.5508,-43.68,0.17,0.072
101,10    Cet,6.6558,-0.0497,0.9,
102,,6.8113,-25.5472,1.03,
103,47    Psc,7.0121,17.8931,1.65,0.016
104,,7.0571,44.3944,0.03,0.013
105,Eta Scl,6.9821,-33.0072,1.64,-0.014
106,48    Psc,7.0529,16.445,1.58,
107,,7.0837,10.1897,0.43,0.033
108,,7.0879,-20.335,0.59,0.034
109,,7.11,-39.915,1.56,0.015
110,,7.2358,36.9,0.92,
111,,7.1796,-50.5328,1.09,
112,,7.7292,77.0194,0.84,0.023
113,,7.5829,59.9772,0.01,0.002
114,28    And,7.5304,29.7517,0.24,0.001
115,,7.4662,-14.8642,0.37,
116,,7.4538,-32.1167,1.34,
117,12    Cet,7.51,-3.9572,1.56,
118,,7.5946,-23.7878,0.12,0.018
119,,7.6158,-40.9394,0.33,
120,,7.6087,-48.215,0.35,
121,13    Cas,7.8554,66.5194,-0.1,
122,,7.8567,33.5817,1.14,
123,14Lam Cas,7.9433,54.5222,-0.1,0.03
124,,7.9217,52.8394,1.15,0.008
125,Lam1Phe,7.8542,-48.8036,0.02,0.027
126,Bet1Tuc,7.8863,-62.9581,-0.07,0.03
127,Bet2Tuc,7.89,-62.9658,0.15,0.03
128,,8.1117,43.4947,-0.01,
129,,8.3304,70.9817,-0.01,
130,15Kap Cas,8.25,62.9317,0.14,
131,52    Psc,8.1479,20.2944,1.08,0.032
132,51    Psc,8.0992,6.9556,0,
133,,8.1438,27.5806,,
134,,8.2046,28.2803,1,0.006
135,,8.2933,54.895,1.04,
136,Bet3Tuc,8.1825,-63.0311,0.04,0.049
137,16    Cas,8.6038,66.7503,-0.08,
138,,8.4213,-29.5583,1.27,
139,The Tuc,8.3471,-71.2661,0.23,
140,,8.6158,-52.3731,0.47,0.038
141,,8.7304,13.3711,,
142,13    Cet,8.8121,-3.5928,0.56,0.06
143,14    Cet,8.8867,-0.5056,0.44,
144,,9.0346,54.1686,-0.11,
145,,8.9779,13.2067,0.52,0.02
146,,9.1138,60.3261,0.29,
147,Lam2Phe,8.9213,-48.0008,0.44,
148,,8.8892,-54.8219,1.01,
149,,9.0833,27.2547,-0.09,
150,,9.0125,-14.9736,1.06,
151,,9.0288,-22.8425,0.29,
152,,9.1942,44.4886,1.6,0.007
153,17Zet Cas,9.2429,53.8969,-0.2,0.004
154,29Pi  And,9.2204,33.7194,-0.14,-0.003
155,53    Psc,9.1971,15.2317,-0.15,
156,,9.28,24.0142,,
157,,9.3379,35.3994,0.88,
158,,9.9471,82.4939,0.55,0.028
159,,9.3363,-24.7672,0.72,0.076
160,,9.1558,-65.1247,1.26,
161,,9.3771,3.1353,1.33,
162,,9.3254,-54.3942,1,
163,30Eps And,9.6388,29.3117,0.87,0.031
164,,9.7913,49.3544,1.64,
165,31Del And,9.8321,30.8608,1.28,0.028
166,54    Psc,9.8408,21.2506,0.85,0.099
167,55    Psc,9.9817,21.4383,1.16,0.009
168,18Alp Cas,10.1271,56.5372,1.17,0.016
169,,9.67,-73.1372,0.11,
170,,9.9913,-33.9617,0.51,0.02
171,,9.9667,-44.7967,1.14,
172,,10.1192,-16.5169,0.92,
173,,10.1371,-23.8044,0.7,0.043
174,,10.1767,-4.3519,1.1,
175,32    And,10.28,39.4586,0.89,0.01
176,,10.11,-59.4544,0.55,0.058
177,,10.5142,66.1475,1.04,
178,,10.4,24.6292,0.26,
179,19Xi  Cas,10.5162,50.5125,-0.11,
180,Mu  Phe,10.3317,-46.085,0.97,0.004
181,,10.6296,58.7533,-0.01,
182,M 31  And,10.67375,41.26389,,
183,Xi  Phe,10.4433,-56.5017,0.2,
184,20Pi  Cas,10.8671,47.0247,0.18,0.023
185,Lam1Scl,10.6788,-38.4633,-0.03,
186,,10.6742,-60.2625,1.32,
187,Rho Tuc,10.6183,-65.4681,0.5,0.038
188,16Bet Cet,10.8975,-17.9867,1.02,0.061
189,,11.11,47.8642,-0.12,
190,,10.9592,-12.0117,1.1,
191,Eta Phe,10.8383,-57.4631,0,0.046
192,21    Cas,11.4125,74.9881,0.05,
193,22Omi Cas,11.1812,48.2844,-0.07,
194,17Phi1Cet,11.0475,-10.6094,1.01,0.022
195,Lam2Scl,11.0504,-38.4217,1.16,0.01
196,,11.3217,55.2217,0.04,0.012
197,,11.185,-22.0061,0.33,0.048
198,,11.2379,-42.6767,0.28,
199,,11.1346,-62.4978,0.44,
200,,11.6625,69.325,,
201,,11.3504,-4.6292,1.62,
202,,11.25,-53.715,0.53,
203,18    Cet,11.3696,-12.8808,0.61,
204,,11.5629,55.3053,,
205,,11.5454,44.8614,-0.07,
206,,11.4237,-16.4242,0.31,
207,,11.6767,59.5744,1.09,
208,23    Cas,11.9421,74.8475,-0.08,
209,,11.44,-47.5517,0.64,0.049
210,,11.5492,-22.5219,0.98,0.021
211,57    Psc,11.6375,15.4756,1.65,0.015
212,,12.0379,72.675,1.01,
213,58    Psc,11.7563,11.9739,0.97,
214,59    Psc,11.8067,19.5789,0.27,
215,34Zet And,11.8346,24.2672,1.12,0.037
216,60    Psc,11.8483,6.7408,0.94,
217,61    Psc,11.9783,20.9253,0.5,0.022
218,,11.9304,-18.0614,1.3,
219,24Eta Cas,12.275,57.8158,0.57,0.176
220,,12.0046,-21.7225,-0.06,
221,62    Psc,12.0725,7.3,1.1,
222,,12.0958,5.2806,0.88,0.145
223,25Nu  Cas,12.2087,50.9683,-0.11,
224,63Del Psc,12.1708,7.585,1.5,0.019
225,64    Psc,12.2446,16.9406,0.51,0.047
226,35Nu  And,12.4533,41.0789,-0.15,
227,,12.3567,-13.5614,1.3,
228,,12.3079,-24.1364,0.95,
229,,12.2362,-46.6978,0.9,
230,65    Psc,12.47,27.7108,0.36,0.011
231,65    Psc,12.4717,27.7103,,0.011
232,,12.3892,-23.3617,0.13,
233,,12.6817,64.2475,0.49,
234,,12.5763,45.0022,0.01,
235,19Phi2Cet,12.5317,-10.6444,0.5,0.065
236,Lam Hyi,12.1475,-74.9233,1.37,0.025
237,,12.8183,61.8058,1.88,
238,,12.7392,51.5081,0.28,
239,,12.5154,-43.3947,0.29,
240,,13.7212,83.7072,0.09,
241,,12.8904,51.5711,,
242,Rho Phe,12.6717,-50.9869,0.36,0.005
243,,12.8263,3.385,1.07,
244,,13.2671,61.1242,0.53,0.066
245,,12.9671,-43.7092,0.35,0.007
246,,13.2225,38.5486,0.02,
247,,13.1692,-24.0058,1.24,0.007
248,20    Cet,13.2521,-1.1442,1.57,-0.003
249,,13.3675,37.4181,1.14,
250,,13.4483,52.6892,0.19,0.013
251,,13.3017,-24.7769,0.44,0.006
252,Lam1Tuc,13.1012,-69.5044,0.56,
253,26Ups1Cas,13.7504,58.9728,1.21,0.006
254,66    Psc,13.6467,19.1883,-0.01,0.014
255,21    Cet,13.5733,-8.7408,0.92,
256,,13.7717,48.6786,1.68,
257,,13.4079,-62.8714,1.56,
258,36    And,13.7417,23.6283,1,0.022
259,,13.8112,24.5569,1.62,
260,,14.0538,57.9967,1.37,
261,,14.2317,68.7761,0.38,
262,67    Psc,13.9937,27.2094,0.14,
263,,13.9267,-7.3472,1.52,
264,27Gam Cas,14.1771,60.7167,-0.15,0.016
265,28Ups2Cas,14.1658,59.1811,0.96,0.051
266,,14.1962,60.3628,-0.07,0.007
267,22Phi3Cet,14.0063,-11.2667,1.52,0.009
268,,13.9812,-27.7756,1.67,
269,37Mu  And,14.1883,38.4994,0.13,0.039
270,Lam2Tuc,13.7513,-69.5269,1.09,0.035
271,38Eta And,14.3017,23.4175,0.94,0.009
272,,14.4154,45.8397,1.02,
273,,14.6296,66.3522,-0.02,
274,68    Psc,14.4592,28.9922,1.08,
275,,14.5592,33.9508,1,
276,,14.4771,13.6958,0.89,
277,,14.5787,21.4044,0.09,0.009
278,,15.1292,70.9831,0.13,
279,23Phi4Cet,14.6829,-11.38,0.97,
280,Alp Scl,14.6517,-29.3575,-0.16,
281,,14.5933,-60.6964,0.1,
282,,15.0142,44.7111,,0.005
283,,15.015,44.7133,-0.01,0.005
284,,14.9571,6.4831,1.67,0.001
285,,17.1863,86.2569,1.21,
286,,23.46,89.0156,0.11,
287,,15.5767,51.035,,
288,Xi  Scl,15.3263,-38.9167,1.18,0.034
289,,15.7563,47.3761,0.25,0.012
290,39    And,15.7262,41.345,0.16,
291,69Sig Psc,15.7046,31.8044,-0.05,
292,,15.9042,61.075,0.49,
293,Sig Scl,15.61,-31.5519,0.08,
294,71Eps Psc,15.7358,7.89,0.96,0.027
295,Ome Phe,15.5075,-57.0025,0.94,
296,25    Cet,15.7608,-4.8367,1.11,
297,,16.0817,61.5803,0.54,
298,,16.01,52.5022,1.47,
299,,15.705,-46.3975,0.9,0.025
300,,15.8233,-29.5258,0.93,
301,26    Cet,15.9542,1.3667,0.27,0.024
302,,16.195,51.01,-0.08,
303,,16.115,29.6586,0.43,
304,,15.6788,-65.4561,1.64,
305,,16.1517,39.9911,0.31,
306,,19.0562,87.1453,1.12,0.011
307,73    Psc,16.2192,5.6564,1.51,
308,72    Psc,16.2725,14.9461,0.41,
309,,16.595,62.7617,0.19,
310,74Psi1Psc,16.4204,21.4733,-0.03,0.016
311,74Psi1Psc,16.4237,21.4653,-0.07,0.016
312,,17.3013,80.0117,,
313,77    Psc,16.455,4.9083,0.38,
314,77    Psc,16.4642,4.9094,0.49,
315,27    Cet,16.4033,-9.9792,1.01,
316,,16.7508,56.935,1.18,
317,28    Cet,16.5212,-9.8394,0.01,
318,,16.7896,53.4983,,
319,75    Psc,16.64,12.9561,0.96,
320,,16.5321,-23.9925,1.09,
321,30Mu  Cas,17.0683,54.9203,0.69,0.136
322,Bet Phe,16.5208,-46.7186,0.89,0.021
323,,16.6104,-35.6608,0.14,
324,41    And,17.0037,43.9419,0.11,0.031
325,,16.8046,-23.9964,0.23,
326,,17.1388,58.2636,-0.01,
327,78    Psc,17.0054,32.0122,0.4,
328,79Psi2Psc,16.9883,20.7392,0.13,
329,30    Cet,16.9425,-9.7856,0.43,
330,80    Psc,17.0925,5.6497,0.34,0.036
331,Ups Phe,16.9496,-41.4869,0.16,0.014
332,Iot Tuc,16.8279,-61.7753,0.88,0.033
333,,18.0696,79.6739,0.01,
334,31Eta Cet,17.1475,-10.1822,1.16,0.041
335,42Phi And,17.3758,47.2419,-0.07,0.003
336,31    Cas,17.6637,68.7786,-0.02,0.017
337,43Bet And,17.4329,35.6206,1.58,0.049
338,Zet Phe,17.0963,-55.2458,-0.08,0.013
339,81Psi3Psc,17.455,19.6586,0.69,
340,44    And,17.5783,42.0814,0.6,
341,,17.5808,25.4578,1.47,
342,,17.8567,64.2028,-0.07,
343,33The Cas,17.7758,55.1497,0.17,0.014
344,,17.5479,15.6742,1.49,
345,32    Cas,17.9225,65.0189,-0.09,
346,32    Cet,17.55,-8.9061,1.04,
347,33    Cet,17.64,2.4456,1.51,
348,45    And,17.7929,37.7242,-0.1,0.003
349,82    Psc,17.7783,31.4247,0.23,
350,,17.5308,-57.6944,0.89,
351,84Chi Psc,17.8633,21.0347,1.03,0.015
352,83Tau Psc,17.915,30.0897,1.09,0.023
353,34    Cet,17.9312,-2.2511,1.4,
354,,18.2913,61.7058,0.01,
355,,18.1417,45.3378,1.64,
356,,18.2479,30.0642,1,
357,,19.1279,79.91,0.42,
358,,18.0975,-30.8022,0.48,
359,,18.1892,-37.8564,0.28,
360,85Phi Psc,18.4371,24.5836,1.04,0.007
361,86Zet Psc,18.4329,7.5753,0.32,0.026
362,86Zet Psc,18.4387,7.5783,0.49,0.026
363,,18.5208,28.5297,1.7,
364,87    Psc,18.5317,16.1336,-0.08,
365,,19.0504,71.7439,0.78,
366,37    Cet,18.6,-7.9231,0.46,0.056
367,88    Psc,18.6767,6.9953,1.08,
368,38    Cet,18.705,-0.9739,0.42,0.028
369,,19.1021,48.0822,-0.05,
370,Nu  Phe,18.7962,-45.5314,0.58,0.069
371,,19.0783,33.1147,1.15,
372,,19.2712,44.9019,,
373,39    Cet,19.1513,-2.5003,0.9,0.015
374,,19.3504,31.7447,,
375,,20.0812,77.5706,0.92,
376,,19.5425,47.4197,1.35,
377,Kap Tuc,18.9421,-68.8761,0.47,0.061
378,89    Psc,19.45,3.6144,0.07,0.013
379,,19.6958,37.3861,0.23,0.008
380,,19.265,-66.3981,0.05,0.01
381,,20.4963,76.2389,0.28,
382,34Phi Cas,20.0204,58.2317,0.68,-0.003
383,90Ups Psc,19.8667,27.2642,0.03,0.019
384,35    Cas,20.2717,64.6583,0.09,
385,42    Cet,19.9513,-0.5089,0.64,0.009
386,,20.945,78.7258,0.39,
387,,20.1437,-3.2469,1.02,
388,,20.1158,-11.2389,1.11,
389,91    Psc,20.2808,28.7381,1.39,
390,46Xi  And,20.585,45.5289,1.08,0.026
391,,20.84,58.1431,,0.005
392,,20.6542,1.7264,1.52,
393,43    Cet,20.645,-0.4497,1.08,
394,,20.6271,-19.0814,0.48,0.008
395,47    And,20.9192,37.715,0.26,
396,,20.9062,34.2458,0.83,
397,,20.8538,20.4689,1.71,
398,,21.4438,70.98,,
399,36Psi Cas,21.4833,68.13,1.05,0.013
400,,20.8792,-30.9456,1.61,
401,44    Cet,21.0104,-8.0075,0.23,
402,45The Cet,21.0058,-8.1833,1.06,0.041
403,37Del Cas,21.4542,60.2353,0.13,0.037
404,,21.0858,-6.9147,0.41,0.023
405,,21.1658,-15.6603,0.91,
406,,21.2029,-2.8486,0.96,
407,,21.3988,23.5117,0.43,
408,,21.17,-41.4925,1.04,-0.012
409,,21.5775,43.4578,0.49,
410,,21.5362,34.5797,0.47,
411,,21.1746,-44.5283,1.14,
412,46    Cet,21.405,-14.5989,1.23,0.007
413,93Rho Psc,21.5637,19.1722,0.39,0.038
414,94    Psc,21.6737,19.2403,1.11,0.013
415,,21.7758,34.3775,0.46,
416,,21.6138,-0.3986,1.24,0.023
417,48Ome And,21.9142,45.4067,0.42,0.03
418,,21.8608,41.1006,0.27,
419,,21.7229,3.5353,-0.04,-0.016
420,,21.2721,-64.3694,1.56,
421,47    Cet,21.715,-13.0567,0.35,
422,,21.9458,40.3356,-0.04,
423,,21.7421,-32.5431,3.86,
424,1Alp UMi,37.9529,89.2642,0.6,0.007
425,,21.9442,-10.9017,1.32,
426,,22.0954,7.9614,1.12,
427,38    Cas,22.8075,70.2647,0.47,0.039
428,,22.7179,66.0981,0.08,-0.001
429,Gam Phe,22.0912,-43.3183,1.57,0
430,49    And,22.5258,47.0072,1,0.015
431,,22.1804,-33.7636,0.3,
432,97    Psc,22.4704,18.3556,0.14,
433,48    Cet,22.4004,-21.6294,0.02,0.028
434,98Mu  Psc,22.5462,6.1439,1.37,0.018
435,,22.3767,-46.7564,1.66,
436,,22.5954,-26.2078,1.34,
437,99Eta Psc,22.8708,15.3458,0.97,0.015
438,,23.0317,34.8,-0.12,
439,,23.3575,58.3275,1.52,
440,Del Phe,22.8129,-49.0728,0.99,0.031
441,,22.9304,-30.2833,1.08,
442,39Chi Cas,23.4829,59.2319,1,0.021
443,,22.9129,-45.5756,0.06,
444,,23.2646,-9.0147,-0.04,
445,,23.2333,-36.8653,1.02,0.007
446,,23.5692,37.2372,-0.07,0.018
447,,23.1513,-49.7278,0.46,
448,,23.4287,-7.0253,0.64,
449,,24.3438,74.3008,0.03,
450,,23.7046,18.4606,1.52,
451,49    Cet,23.6575,-15.6761,0.07,
452,,23.9688,41.0764,1.11,
453,,23.7113,-31.8922,1.11,
454,,24.1133,48.7228,1.21,
455,101    Psc,23.9433,14.6614,-0.04,
456,40    Cas,24.6287,73.04,0.96,0.017
457,,23.9783,17.4336,,
458,50Ups And,24.1992,41.4056,0.54,0.062
459,50    Cet,23.9958,-15.4003,1.21,
460,,23.8133,-58.1394,0.38,0.011
461,,24.5317,57.9775,1.38,
462,Tau Scl,24.035,-29.9075,0.33,0.025
463,102Pi  Psc,24.2746,12.1417,0.35,
464,51    And,24.4983,48.6283,1.28,0.021
465,,24.6321,45.4,0.04,
466,,24.4071,-9.4039,0.53,0.024
467,,23.4133,-78.5047,0.97,
468,,24.1867,-58.2708,1.61,
469,52Chi And,24.8375,44.3861,0.89,0.009
470,,25.0546,53.8683,1.61,
471,,24.6142,-36.5283,1.05,
472,Alp Eri,24.4287,-57.2367,-0.16,0.026
473,,24.7158,-21.2753,0.34,
474,,24.7083,-25.0219,-0.08,
475,105    Psc,24.92,16.4058,1.12,
476,,25.1658,43.2978,0.21,
477,53Tau And,25.145,40.5769,-0.09,
478,43    Cas,25.5854,68.0431,-0.07,
479,,24.7008,-53.4389,0.44,
480,42    Cas,25.7329,70.6225,-0.04,0.004
481,,25.5125,61.0383,-0.03,
482,,25.5742,58.6278,-0.02,
483,,25.4467,42.6136,0.62,0.081
484,,25.3267,25.7458,0.44,0.023
485,,25.4133,30.0472,1.01,
486,,24.9475,-56.1981,0.9,0.152
487,,24.9492,-56.1947,0.87,0.152
488,,25.7433,61.4217,0.01,
489,106Nu  Psc,25.3579,5.4875,1.36,0.041
490,,25.5146,35.2456,-0.07,
491,44    Cas,25.8321,60.5511,-0.02,
492,,25.4363,-11.3247,0.44,0.035
493,107    Psc,25.6242,20.2686,0.84,0.119
494,,25.3638,-38.1331,0.42,
495,,25.8188,45.3222,1.01,
496,Phi Per,25.915,50.6886,-0.04,0.025
497,Pi  Scl,25.5358,-32.3269,1.05,-0.005
498,,25.5125,-36.8325,-0.01,
499,,26.0746,57.5364,0.1,-0.003
500,,25.6812,-3.6903,1.38,0.009
501,,25.4212,-50.0389,0.12,
502,,26.1921,57.0892,0.04,
503,,25.9583,32.1917,,
504,,26.1104,46.1397,,
505,,25.45,-60.7894,1.27,
506,,25.6221,-53.7406,0.53,
507,,25.9783,-4.7656,1.54,
508,109    Psc,26.2325,20.0831,0.75,0.027
509,52Tau Cet,26.0171,-15.9375,0.72,0.275
510,110Omi Psc,26.3483,9.1578,0.96,0.023
511,,26.9367,63.8522,0.81,0.107
512,,24.4817,-82.975,0.61,
513,,26.4971,-5.7333,1.52,
514,Eps Scl,26.4117,-25.0525,0.39,0.037
515,,26.6471,17.4131,0.25,
516,Tau1Hyi,25.3388,-79.1483,0.94,
517,,26.5042,-27.3492,0.36,
518,,26.95,46.2297,0.43,
519,,26.5242,-50.8164,1.6,-0.023
520,,26.5263,-53.5219,0.04,0.023
521,,27.1621,37.9528,0.97,
522,4    Ari,27.0454,16.9556,-0.03,
523,,27.1733,32.6903,0.55,0.038
524,,26.82,-41.76,1.54,
525,,24.3667,-84.7697,0.94,
526,,27.3154,47.8969,0.29,0.008
527,,27.1083,3.6856,0.97,
528,,26.9492,-37.1597,1.02,
529,,27.7379,51.9333,0.43,
530,1    Ari,27.5354,22.2753,0.74,0.017
531,53Chi Cet,27.3962,-10.6864,0.33,0.046
532,,27.3312,-31.0728,1.22,
533,1    Per,27.9971,55.1475,-0.18,
534,,27.7167,11.0433,0.3,
535,,27.4533,-38.4039,0.52,0.022
536,2    Per,28.0392,50.7928,-0.07,
537,,27.5842,-47.8164,1.01,
538,,28.2117,51.4747,,
539,55Zet Cet,27.865,-10.335,1.14,0.031
540,,28.4521,55.5981,0.18,
541,,27.7271,-50.2061,0.14,
542,45Eps Cas,28.5987,63.67,-0.15,0.01
543,55    And,28.3221,40.7297,1.32,0.006
544,2Alp Tri,28.2704,29.5789,0.49,0.057
545,5Gam1Ari,28.3825,19.2958,,0.026
546,5Gam2Ari,28.3825,19.2936,-0.04,0.026
547,,28.2171,-16.9292,0.27,
548,46Ome Cas,29,68.6853,-0.1,
549,111Xi  Psc,28.3888,3.1875,0.94,0.005
550,Tau2Hyi,26.9438,-80.1767,0.34,
551,,28.7242,40.7019,1.25,
552,,28.7396,37.1283,1.17,
553,6Bet Ari,28.66,20.8081,0.13,0.074
554,,28.3467,-38.5947,1.12,
555,Psi Phe,28.4117,-46.3025,1.59,0.011
556,,28.9767,37.2778,1.63,
557,56    And,29.0387,37.2517,1.06,
558,Phi Phe,28.5917,-42.4969,-0.06,
559,7    Ari,28.9625,23.5772,1.19,
560,,28.9742,1.8497,0.56,0.025
561,,29.6388,61.6981,-0.04,
562,,29.485,41.6944,-0.06,
563,8Iot Ari,29.3379,17.8175,0.92,
564,,29.4325,27.8044,1.6,
565,56    Cet,29.1675,-22.5269,1.42,-0.012
566,Chi Eri,28.9896,-51.6089,0.85,0.058
567,,29.9083,64.6214,0.01,
568,3    Per,29.64,49.2042,1.01,
569,9Lam Ari,29.4821,23.5961,0.28,0.028
570,Eta2Hyi,28.7337,-67.6472,0.95,
571,,28.9433,-60.8614,0.37,
572,,30.7383,77.9164,1.14,
573,,29.2504,-51.7661,0.48,0.056
574,,29.2917,-47.385,0.88,0.021
575,48    Cas,30.4892,70.9069,0.16,0.035
576,,29.6112,-33.0667,1.02,
577,,29.8988,21.0583,1.03,
578,,29.8579,12.2947,0.19,
579,,30.7938,73.8506,,0.004
580,50    Cas,30.8587,72.4214,-0.01,
581,47    Cas,31.2808,77.2814,0.31,0.028
582,112    Psc,30.0383,3.0972,0.62,0.034
583,57    Cet,29.9421,-20.8244,1.65,
584,,29.4733,-65.4247,0.9,
585,59Ups Cet,30.0012,-21.0778,1.57,0.007
586,52    Cas,30.7196,64.9014,0.03,
587,,30.1121,-8.5236,1.52,
588,,29.9117,-42.0306,1.06,0.018
589,53    Cas,30.7512,64.39,0.38,
590,4    Per,30.5754,54.4875,-0.08,
591,Alp Hyi,29.6925,-61.5697,0.28,0.048
592,49    Cas,31.38,76.115,0.95,0.022
593,Sig Hyi,28.9604,-78.3483,0.44,
594,Pi  For,30.3113,-30.0017,0.88,0.017
595,113Alp Psc,30.5117,2.7636,,0.005
596,113Alp Psc,30.5117,2.7636,0.03,0.005
597,,32.3554,81.2958,0.11,
598,,31.1671,65.1033,0,
599,3Eps Tri,30.7417,33.2839,0.03,0.01
600,,29.9212,-66.0664,1.17,
601,,30.6467,13.4767,1.59,
602,Chi Phe,30.4267,-44.7136,1.49,-0.019
603,57Gam1And,30.975,42.3297,1.37,0.013
604,57Gam2And,30.9779,42.3308,0.03,0.013
605,10    Ari,30.9137,25.9356,0.54,0.025
606,,30.6171,-29.665,0.14,
607,60    Cet,30.7987,0.1283,0.15,
608,,30.7442,-15.3058,0.98,
609,,30.9275,18.2533,1.42,
610,61    Cet,30.9508,-0.3403,0.88,
611,,30.9188,-4.1036,1.59,
612,Nu  For,31.1225,-29.2969,-0.17,
613,12Kap Ari,31.6413,22.6483,0.11,
614,,31.5513,8.2475,1.65,
615,11    Ari,31.705,25.7047,-0.03,
616,,31.6221,0.035,0.9,
617,13Alp Ari,31.7933,23.4625,1.15,0.049
618,,32.1688,58.4236,0.61,
619,,32.14,44.4594,,
620,58    And,32.1221,37.8592,0.12,0.006
621,,32.5325,53.8431,0.95,
622,4Bet Tri,32.3858,34.9872,0.14,0.022
623,14    Ari,32.3554,25.9397,0.33,
624,,32.3462,17.2244,,
625,,32.1904,-17.7794,1.61,
626,,33.3383,74.0278,0.91,
627,5    Per,32.8708,57.6458,0.33,
628,59    And,32.72,39.0394,-0.02,0.01
629,59    And,32.7238,39.0431,-0.07,0.01
630,,32.395,-24.3458,0.29,
631,15    Ari,32.6567,19.5003,1.65,
632,,32.2887,-43.5167,1.19,
633,16    Ari,32.8,25.9369,1.36,
634,5    Tri,32.8542,31.5264,0.11,
635,64    Cet,32.8379,8.5697,0.56,0.034
636,,32.5204,-43.8156,0.9,
637,,32.6067,-50.8244,0.82,0.09
638,,32.8425,-10.0522,0.39,
