name,alt_name,ra,dec,parallax
HR 2814,,263.56841,-16.99829,0.038
HR 2815,,263.37017,-16.87212,
HR 2816,59    Gem,190.9046,18.96943,
HR 2817,,202.53225,14.18939,
HR 2818,21    Lyn,168.71381,25.74533,0.012
HR 2819,,244.85498,-7.8968,
HR 282,,124.54306,-18.13368,0.005
HR 2820,1    CMi,206.16788,12.66797,0.015
HR 2821,60Iot Gem,190.8463,19.26878,0.032
HR 2822,,241.2445,-5.92429,0.013
HR 2823,,245.15591,-7.92542,
HR 2824,,243.41357,-6.94412,
HR 2825,,231.0867,-0.21417,
HR 2826,,236.96329,-3.46464,
HR 2827,31Eta CMa,242.61653,-6.48568,
HR 2828,2Eps CMi,208.44801,11.77841,0.008
HR 2829,,248.47664,-9.49138,
HR 283,,124.54358,-18.13147,0.005
HR 2830,,147.27858,28.6917,0.011
HR 2831,,233.58277,-1.50853,
HR 2832,,228.98373,1.04654,0.037
HR 2833,,222.02327,4.9665,
HR 2834,,244.92045,-7.51947,-0.021
HR 2835,,197.05328,17.14218,0.038
HR 2836,,207.31104,12.53989,
HR 2837,61    Gem,198.29123,16.66009,
HR 2838,,220.94946,5.59165,
HR 2839,,236.25587,-2.81331,
HR 284,,126.69285,-56.32737,0.001
HR 2840,,206.96503,12.76294,
HR 2841,,239.12444,-4.31972,
HR 2842,,249.86799,-9.99663,0.003
HR 2843,,249.86886,-9.9967,0.003
HR 2844,,169.91333,25.86813,
HR 2845,3Bet CMi,209.51977,11.67839,0.019
HR 2846,63    Gem,197.22678,17.30005,0.041
HR 2847,,244.95487,-7.30093,
HR 2848,,299.58887,-27.14655,
HR 2849,22    Lyn,168.33395,26.3537,0.042
HR 285,,123.2394,23.39549,
HR 2850,,237.92888,-3.35759,
HR 2851,5Eta CMi,210.85197,11.27915,0.01
HR 2852,62Rho Gem,187.13381,21.34466,0.062
HR 2853,,232.83024,-0.4859,
HR 2854,4Gam CMi,209.04812,12.1829,0.019
HR 2855,,237.41051,-2.99811,
HR 2856,,247.20379,-8.22195,
HR 2857,64    Gem,190.83261,20.12834,0.008
HR 2858,,203.36503,14.96733,
HR 2859,,227.36644,2.67335,
HR 286,,123.13367,26.16051,
HR 2860,,237.29026,-2.74382,
HR 2861,65    Gem,191.0731,20.15393,0.018
HR 2862,,262.71642,-15.63245,0.007
HR 2863,,242.88326,-5.66582,
HR 2864,6    CMi,206.376,13.87932,0.029
HR 2865,,218.98621,7.53693,
HR 2866,,224.01593,4.91394,
HR 2867,,226.45889,3.58384,
HR 2868,,230.56827,1.35254,0.027
HR 2869,,250.66516,-9.59559,
HR 287,,124.67713,-11.79991,
HR 2870,,245.36462,-6.76113,
HR 2871,,245.3637,-6.75988,
HR 2872,,179.98939,24.08289,
HR 2873,,245.0385,-6.53535,
HR 2874,,237.6705,-2.38882,-0.003
HR 2875,,251.63569,-9.92519,
HR 2876,,222.12426,6.32296,
HR 2877,,201.80391,16.44196,0.001
HR 2878,Sig Pup,255.73585,-11.91202,0.02
HR 2879,,196.30364,18.94561,
HR 288,Xi  Scl,293.63756,-78.03292,0.034
HR 2880,7Del1CMi,215.88208,9.91664,0.016
HR 2881,,244.76402,-5.99611,0.023
HR 2882,,250.45465,-8.97041,
HR 2883,,225.50509,4.86375,
HR 2884,,264.50239,-15.78829,
HR 2885,,249.45781,-8.29334,
HR 2886,68    Gem,203.18596,16.3214,0.011
HR 2887,8Del2CMi,214.76371,10.78699,
HR 2888,,275.98378,-20.44722,
HR 2889,,249.24763,-8.11948,
HR 289,,124.9667,-15.44986,0.012
HR 2890,66Alp Gem,187.44082,22.47979,0.067
HR 2891,66Alp Gem,187.44113,22.4797,0.067
HR 2892,,266.19698,-16.43023,
HR 2893,,208.18039,14.21106,
HR 2894,,161.77172,28.38414,
HR 2895,,249.37613,-8.03583,
HR 2896,,188.43002,22.28704,0.003
HR 2897,,230.45379,2.51926,
HR 2898,,175.80322,25.89192,0.005
HR 2899,,234.89241,0.05771,
HR 29,,96.99161,-66.02723,
HR 290,39    And,125.24432,-21.47526,
HR 2900,,239.51425,-2.53567,
HR 2901,9Del3CMi,214.81358,11.06175,
HR 2902,,230.66679,2.52087,-0.003
HR 2903,,172.40842,26.70875,
HR 2904,,215.45822,10.87973,
HR 2905,69Ups Gem,192.60525,21.06125,0.014
HR 2906,,237.49798,-1.18969,0.054
HR 2907,,253.13096,-9.78467,
HR 2908,,255.87119,-11.16509,
HR 2909,,238.5571,-1.70834,0.023
HR 291,69Sig Psc,125.75289,-31.00501,
HR 2910,,238.55899,-1.70719,0.023
HR 2911,,249.85348,-7.9483,
HR 2912,,240.89083,-2.95349,
HR 2913,,247.33353,-6.52627,
HR 2914,,169.60654,27.45432,
HR 2915,,179.10202,25.38613,
HR 2916,,241.68688,-3.36596,
HR 2917,,253.06023,-9.58663,
HR 2918,,212.80701,12.69852,
HR 2919,Eps Men,291.01783,-25.00633,-0.002
HR 292,,124.40471,-1.76192,
HR 2920,,225.4984,6.04349,
HR 2921,,230.90543,3.01599,
HR 2922,,242.96355,-3.86661,
HR 2923,,237.6131,-0.70378,
HR 2924,70    Gem,184.44517,24.24071,
HR 2925,,263.70756,-14.64386,
HR 2926,,195.33875,20.64056,
HR 2927,25    Mon,221.89423,8.26103,0.028
HR 2928,,235.53006,0.60829,
HR 2929,23    Lyn,160.34036,29.09083,
HR 293,Sig Scl,275.13728,-84.96892,
HR 2930,71Omi Gem,184.97282,24.22445,0.021
HR 2931,,195.56084,20.79343,
HR 2932,,231.04675,3.37605,
HR 2933,,239.15159,-1.26066,
HR 2934,,264.76608,-14.95754,0.012
HR 2935,,181.06425,25.49357,
HR 2936,,187.70569,23.58434,
HR 2937,,248.97865,-6.67005,
HR 2938,74    Gem,202.01138,18.35401,0.009
HR 2939,,170.43324,27.87485,0.009
HR 294,71Eps Psc,127.88734,-54.87101,0.027
HR 2940,,261.40494,-13.19193,
HR 2941,,267.94816,-16.32152,
HR 2942,,249.28877,-6.7498,
HR 2943,10Alp CMi,213.70218,13.01931,0.288
HR 2944,,240.65208,-1.83609,
HR 2945,,251.7129,-8.05088,
HR 2946,24    Lyn,158.51094,29.52435,0.018
HR 2947,,234.91947,1.6105,
HR 2948,,241.96321,-2.43778,0.01
HR 2949,,241.96579,-2.43708,0.01
HR 295,Ome Phe,300.04169,-60.06627,
HR 2950,,213.79038,13.20328,0.014
HR 2951,,196.91829,20.73091,
HR 2952,,253.53802,-8.87591,
HR 2953,,205.88909,17.05209,
HR 2954,,250.46374,-7.15861,
HR 2955,,252.4724,-8.27985,
HR 2956,,242.08539,-2.34602,
HR 2957,,261.31301,-12.85769,
HR 2958,,225.90373,7.04011,
HR 2959,,232.08963,3.55145,0.005
HR 296,25    Cet,130.51725,-67.53737,
HR 2960,,235.90317,1.35551,
HR 2961,,252.13814,-7.89784,
HR 2962,,185.82477,24.75407,
HR 2963,,252.01421,-7.77004,0.006
HR 2964,,252.12817,-7.81654,
HR 2965,,206.27891,17.16871,
HR 2966,,215.43097,12.80504,
HR 2967,,205.60537,17.51269,0.006
HR 2968,,251.54076,-7.46091,
HR 2969,,167.94478,28.72197,0.015
HR 297,,124.4652,-1.25307,
HR 2970,26Alp Mon,227.18618,6.52194,0.024
HR 2971,,265.68136,-14.82076,
HR 2972,,243.16835,-2.63186,
HR 2973,75Sig Gem,191.18929,23.2744,0.018
HR 2974,,246.42738,-4.42691,
HR 2975,51    Cam,150.75467,30.19963,
HR 2976,,238.36507,0.27031,
HR 2977,49    Cam,153.79109,30.15203,
HR 2978,,197.75247,21.01536,
HR 2979,,286.11438,-23.13979,0.01
HR 298,,124.88068,-10.32186,
HR 2980,,286.11441,-23.13968,0.01
HR 2981,,252.50878,-7.69511,
HR 2982,,218.72901,11.55996,
HR 2983,76    Gem,194.41855,22.39079,0.007
HR 2984,,257.95585,-10.57217,
HR 2985,77Kap Gem,195.84782,21.97209,0.026
HR 2986,,252.57145,-7.57224,
HR 2987,,207.12244,17.43349,
HR 2988,,242.01014,-1.44144,
HR 2989,,216.84029,12.81193,
HR 299,,297.01588,-70.59979,0.025
HR 2990,78Bet Gem,192.22933,23.4061,0.094
HR 2991,79    Gem,199.985,20.6192,
HR 2992,,241.37008,-0.85428,
HR 2993,1    Pup,243.88044,-2.32252,0.018
HR 2994,,250.50888,-6.15436,
HR 2995,,252.97695,-7.53777,
HR 2996,3    Pup,244.38185,-2.5416,
HR 2997,,133.67593,29.43482,
HR 2998,,258.57633,-10.57717,
HR 2999,,182.322,26.49562,
HR 3,33    Psc,93.75415,-65.93257,0.014
HR 30,Gam3Oct,304.62775,-34.76756,
HR 300,,256.20943,-86.45705,
HR 3000,,289.62374,-24.11205,
HR 3001,,252.45033,-7.11409,
HR 3002,,254.86158,-8.43941,0.026
HR 3003,81    Gem,201.85734,20.13478,0.014
HR 3004,,240.75413,-0.26057,
HR 3005,,262.94982,-12.78807,
HR 3006,,270.90926,-16.71527,
HR 3007,,250.61541,-5.99132,
HR 3008,11    CMi,209.32692,17.00081,0.022
HR 3009,2    Pup,232.19381,4.90599,
HR 301,26    Cet,129.39518,-61.34961,0.024
HR 3010,2    Pup,232.19868,4.90501,
HR 3011,,252.3054,-6.84094,
HR 3012,,270.57211,-16.46017,
HR 3013,80Pi  Gem,186.76356,25.53373,0.012
HR 3014,,225.31181,8.90437,
HR 3015,4    Pup,232.14387,5.06532,0.031
HR 3016,,252.3061,-6.72671,
HR 3017,,252.39438,-6.73565,0.006
HR 3018,,249.10866,-4.80576,0.064
HR 3019,,230.59193,6.1695,
HR 302,,125.07522,-11.80622,
HR 3020,,257.50812,-9.53371,
HR 3021,82    Gem,197.47945,22.39994,
HR 3022,,252.45346,-6.56098,
HR 3023,,239.19411,1.34363,
HR 3024,Zet Vol,284.57094,-22.15512,0.017
HR 3025,,254.35636,-7.53986,
HR 3026,,233.58995,4.70919,
HR 3027,,233.6239,4.72063,
HR 3028,,163.88558,30.24655,
HR 3029,5    Pup,230.31566,6.66196,0.013
HR 303,,126.31017,-33.12772,
HR 3030,,207.14534,18.70899,
HR 3031,,269.3227,-15.47943,
HR 3032,,253.76805,-7.09184,
HR 3033,,215.64248,14.76983,
HR 3034,Omi Pup,242.24612,-0.20755,
HR 3035,,253.08019,-6.63319,-0.004
HR 3036,,278.18204,-19.48801,
HR 3037,,260.24547,-10.55718,
HR 3038,,281.85209,-20.97253,
HR 3039,,162.65977,30.55802,
HR 304,,301.04565,-51.63083,
HR 3040,,187.19327,26.1882,
HR 3041,,255.02658,-7.56771,
HR 3042,,231.51593,6.40993,
HR 3043,,241.46964,0.49453,0.036
HR 3044,6    Pup,234.91058,4.51255,
HR 3045,7Xi  Pup,241.45506,0.5733,0.003
HR 3046,,260.73237,-10.65953,0.006
HR 3047,,227.94714,8.62392,
HR 3048,,237.49547,3.02262,
HR 3049,,250.41609,-4.68783,
HR 305,,125.66777,-22.81068,
HR 3050,,216.82665,14.69118,0.003
HR 3051,,236.94591,3.43773,
HR 3052,,248.75909,-3.64204,
HR 3053,,201.61921,21.7194,
HR 3054,,229.74744,7.82209,
HR 3055,,260.17977,-10.18546,
HR 3056,,269.26241,-15.03148,
HR 3057,,258.76103,-9.36338,
HR 3058,,260.60915,-10.42271,
HR 3059,13Zet CMi,218.31943,14.19828,0.012
HR 306,,123.26985,24.28983,0.011
HR 3060,,241.36663,1.07525,
HR 3061,,216.9837,14.98639,
HR 3062,,269.25756,-14.90655,
HR 3063,8    Pup,231.31983,7.14163,
HR 3064,9    Pup,232.27138,6.62045,0.062
HR 3065,25    Lyn,171.6982,29.95126,
HR 3066,26    Lyn,171.50085,30.0153,
HR 3067,83Phi Gem,194.19022,24.70222,
HR 3068,,238.56292,2.9269,
HR 3069,,258.7178,-9.08735,
HR 307,73    Psc,129.08793,-57.05463,
HR 3070,,272.86842,-16.61696,
HR 3071,,263.97356,-11.99877,
HR 3072,,224.94415,11.02601,
HR 3073,10    Pup,233.16299,6.25762,
HR 3074,,257.46872,-8.25611,
HR 3075,,140.86274,30.73037,0.022
HR 3076,,272.69022,-16.43691,
HR 3077,,161.19492,31.17923,
HR 3078,,257.31708,-8.10092,
HR 3079,,250.26396,-3.88263,0.074
HR 308,72    Psc,127.84371,-47.79541,
HR 3080,,255.34715,-6.85862,0.031
HR 3081,,278.51611,-19.07964,
HR 3082,,134.4718,29.96302,0.021
HR 3083,,185.13333,27.70328,
HR 3084,,253.89972,-5.9253,0.012
HR 3085,,251.7783,-4.5873,0.035
HR 3086,85    Gem,201.41747,22.74149,0.009
HR 3087,,212.16136,18.23724,
HR 3088,,267.61488,-13.5388,
HR 3089,,263.38001,-11.19347,
HR 309,,124.64068,-0.06046,
HR 3090,,262.05707,-10.42336,
HR 3091,,251.47509,-4.14371,
HR 3092,,250.63881,-3.53087,
HR 3093,,216.37117,16.48702,
HR 3094,,175.70609,30.05077,
HR 3095,1    Cnc,205.62438,21.45113,
HR 3096,,247.32947,-1.4039,
HR 3097,,212.56874,18.5285,
HR 3098,,219.57413,15.1332,0.005
HR 3099,,246.91707,-0.86438,
HR 31,,87.6908,-72.60355,
HR 310,74Psi1Psc,127.34274,-41.27643,0.016
HR 3100,,266.18691,-12.36142,
HR 3101,,258.53039,-7.93406,
HR 3102,11    Pup,240.64189,3.07289,0.023
HR 3103,,214.0153,18.08693,
HR 3104,,205.06106,22.07768,
HR 3105,,270.45221,-14.61502,0.009
HR 3106,,158.23435,31.90544,
HR 3107,,255.89136,-6.25499,
HR 3108,,129.26986,29.1501,
HR 3109,53    Cam,156.72976,31.94932,
HR 311,74Psi1Psc,127.3476,-41.28418,0.016
HR 3110,14    CMi,218.69518,15.88137,0.027
HR 3111,,257.3907,-7.01716,
HR 3112,,153.4677,31.974,
HR 3113,,247.104,-0.65266,0.025
HR 3114,,258.34032,-7.57399,
HR 3115,,208.39665,20.99403,
HR 3116,,258.90168,-7.83032,
HR 3117,Chi Car,266.677,-12.32021,0.004
HR 3118,,262.208,-9.73218,0.007
HR 3119,,160.32803,32.04638,0.038
HR 312,,123.73748,17.16775,
HR 3120,,273.50318,-15.94239,
HR 3121,,260.23052,-8.48974,0.009
HR 3122,27    Mon,224.23798,13.38578,0.008
HR 3123,12    Pup,241.2782,3.2882,-0.003
HR 3124,2Ome1Cnc,196.23318,25.82413,
HR 3125,,201.97552,23.83682,
HR 3126,,272.24631,-15.23606,
HR 3127,,198.12767,25.23011,0.01
HR 3128,3    Cnc,204.50225,22.88429,
HR 3129,,263.47561,-10.27936,
HR 313,77    Psc,129.66103,-57.77542,
HR 3130,,185.49746,28.93325,
HR 3131,,237.16406,5.99788,0.021
HR 3132,4Ome2Cnc,196.61749,25.89391,
HR 3133,,265.43202,-11.35809,
HR 3134,5    Cnc,205.42724,22.71001,
HR 3135,,223.64361,13.99044,
HR 3136,,216.57506,17.73861,
HR 3137,,260.02089,-8.12952,
HR 3138,,273.38448,-15.67834,0.062
HR 3139,,276.12793,-17.10653,
HR 314,77    Psc,129.67791,-57.77336,
HR 3140,,254.95633,-5.00978,0.038
HR 3141,28    Mon,222.35571,14.8129,0.009
HR 3142,,264.19935,-10.50972,
HR 3143,,264.19812,-10.50561,
HR 3144,,212.82973,19.66601,
HR 3145,,219.06752,16.8002,0.024
HR 3146,,260.34761,-8.0568,
HR 3147,,273.92679,-15.80505,
HR 3148,,263.41182,-9.86276,
HR 3149,Chi Gem,193.89822,27.14079,0.016
HR 315,27    Cet,134.63048,-72.5282,
HR 3150,,226.95368,12.66904,0.007
HR 3151,,263.33518,-9.77408,
HR 3152,,273.41008,-15.42649,
HR 3153,,273.75518,-15.60924,-0.001
HR 3154,,253.45664,-3.5969,
HR 3155,,253.30874,-3.39284,
HR 3156,,268.02218,-12.3679,
HR 3157,,268.38647,-12.47775,
HR 3158,,203.34609,24.33948,
HR 3159,,276.54602,-16.91822,
HR 316,,125.06504,-5.87227,
HR 3160,,249.52098,-0.79446,
HR 3161,,269.23523,-12.92323,
HR 3162,,257.0074,-5.5288,
HR 3163,8    Cnc,209.10901,22.16136,0.023
HR 3164,,194.34283,27.50109,0.007
HR 3165,Zet Pup,255.97607,-4.70566,
HR 3166,,258.48265,-6.27091,
HR 3167,28    Lyn,176.83935,31.51849,
HR 3168,14    Pup,238.90273,6.27572,
HR 3169,9Mu 1Cnc,199.5802,26.04583,
HR 317,28    Cet,134.92296,-72.36929,
HR 3170,,249.83454,-0.69271,0.024
HR 3171,,285.72715,-21.21032,
HR 3172,,222.18033,16.21544,
HR 3173,27    Lyn,167.19193,32.65401,-0.009
HR 3174,,230.04125,12.07423,
HR 3175,,159.17423,33.04387,
HR 3176,10Mu 2Cnc,200.81021,25.99369,0.034
HR 3177,,250.7556,-0.91002,
HR 3178,,265.18993,-10.06322,
HR 3179,,262.11622,-8.10261,
HR 318,,125.2997,-9.30116,
HR 3180,,267.42108,-11.30183,0.02
HR 3181,,177.8776,31.78846,
HR 3182,,147.01381,32.52773,0.021
HR 3183,,239.93435,6.35767,0.001
HR 3184,12    Cnc,208.98309,23.1811,
HR 3185,15Rho Pup,243.1481,4.40177,0.035
HR 3186,,276.11231,-16.13981,
HR 3187,,260.76912,-7.0059,-0.011
HR 3188,29Zet Mon,224.7222,15.65564,0.003
HR 3189,,232.20017,11.5293,
HR 319,75    Psc,128.6391,-49.748,
HR 3190,,239.95013,6.74225,
HR 3191,14Psi Cnc,196.89506,27.89399,0.029
HR 3192,16    Pup,239.03495,7.39824,
HR 3193,,182.23244,31.50195,
HR 3194,,236.52495,9.07685,
HR 3195,,254.53626,-2.63434,
HR 3196,,248.40841,1.444,
HR 3197,,130.95466,29.89019,
HR 3198,,208.23796,24.08389,
HR 3199,,252.72375,-1.33525,
HR 32,,306.9774,-43.58197,
HR 320,,170.31411,-85.43877,
HR 3200,,161.31436,33.5782,
HR 3201,,213.02879,22.15613,
HR 3202,18    Pup,234.56292,10.60866,0.047
HR 3203,,263.92279,-8.45412,
HR 3204,,260.0743,-5.95642,
HR 3205,,258.83895,-5.12795,0.017
HR 3206,Gam1Vel,262.8064,-7.69705,
HR 3207,Gam2Vel,262.80271,-7.68578,0.017
HR 3208,16Zet1Cnc,205.30133,25.53076,0.039
HR 3209,16Zet1Cnc,205.30133,25.53076,0.039
HR 321,30Mu  Cas,125.37234,-7.87166,0.136
HR 3210,16Zet2Cnc,205.30233,25.53296,0.039
HR 3211,19    Pup,233.88459,11.19102,0.031
HR 3212,,229.39509,13.90633,0.012
HR 3213,,263.33304,-7.97891,
HR 3214,,209.01352,24.14088,
HR 3215,15    Cnc,192.58079,29.70658,
HR 3216,,138.46564,31.60647,
HR 3217,,277.20107,-16.23902,
HR 3218,,270.37552,-12.26302,
HR 3219,,254.46858,-2.02314,
HR 322,Bet Phe,295.50668,-70.19794,0.021
HR 3220,,274.97417,-14.95547,0.055
HR 3221,,156.58712,33.69389,
HR 3222,,206.54038,25.27094,
HR 3223,Eps Vol,281.62422,-18.55985,
HR 3224,,199.70084,27.8168,
HR 3225,,256.45463,-3.23986,-0.006
HR 3226,,259.29463,-5.06332,0.004
HR 3227,,263.91246,-8.05215,
HR 3228,,205.46966,25.97656,
HR 3229,20    Pup,236.62669,10.10714,0.03
HR 323,,283.31941,-80.88876,
HR 3230,,248.4957,2.33095,
HR 3231,,210.18506,24.19295,
HR 3232,,262.44078,-6.95939,
HR 3233,,255.19663,-2.06656,
HR 3234,,262.16718,-6.67926,
HR 3235,29    Lyn,157.54085,33.99442,
HR 3236,,142.28681,32.46381,
HR 3237,,253.57689,-0.84437,
HR 3238,,251.65625,0.47628,
HR 3239,,250.52404,1.35363,
HR 324,41    And,126.08348,-18.82839,0.031
HR 3240,,253.98286,-0.99729,
HR 3241,,253.99912,-1.00644,
HR 3242,,253.31766,-0.49516,
HR 3243,,257.34866,-3.20947,0.01
HR 3244,,262.88486,-6.91713,
HR 3245,,153.99533,33.92783,
HR 3246,,164.09171,34.22037,
HR 3247,,265.60235,-8.65447,0.007
HR 3248,,211.74944,24.13938,0.021
HR 3249,17Bet Cnc,214.2531,23.04757,0.012
HR 325,,172.45092,-85.25991,
HR 3250,,261.98334,-6.1712,
HR 3251,,249.71296,2.32782,0.009
HR 3252,,214.68405,23.1342,
HR 3253,,253.85912,-0.42688,
HR 3254,30    Lyn,159.72468,34.43433,
HR 3255,,241.80337,7.83211,
HR 3256,,265.97662,-8.54675,
HR 3257,21    Pup,237.5829,10.66388,
HR 3258,,164.78137,34.54801,
HR 3259,,234.56307,12.82374,0.082
HR 326,,125.18844,-4.53313,
HR 3260,,276.79906,-15.1324,0.031
HR 3261,,249.19901,3.21751,
HR 3262,18Chi Cnc,195.78402,30.46704,0.061
HR 3263,,156.20478,34.51992,0.015
HR 3264,,202.84621,28.44907,
HR 3265,,232.52056,14.30131,
HR 3266,,253.74791,0.21412,
HR 3267,,255.32868,-0.88023,0.009
HR 3268,19Lam Cnc,199.33474,29.58743,
HR 3269,,219.70985,21.4329,
HR 327,78    Psc,127.02146,-30.72783,
HR 3270,,254.77639,-0.42122,0.057
HR 3271,,224.31323,19.20349,
HR 3272,,228.35434,17.01599,
HR 3273,,253.17482,0.90258,
HR 3274,,273.66819,-12.91146,
HR 3275,31    Lyn,177.38975,34.33607,0.023
HR 3276,,243.61192,7.63278,
HR 3277,,165.21067,35.04499,0.03
HR 3278,,225.0975,19.10731,0.009
HR 3279,,241.33425,9.38394,
HR 328,79Psi2Psc,128.12762,-41.96588,
HR 3280,,279.38622,-16.21931,0.013
HR 3281,,239.29344,10.86566,
HR 3282,,252.13161,2.09676,0.03
HR 3283,,254.94973,0.14051,
HR 3284,20    Cnc,205.69778,28.2463,0.011
HR 3285,,229.41333,17.0568,
HR 3286,,257.5355,-1.63505,
HR 3287,,178.86433,34.5365,
HR 3288,,230.68678,16.43754,
HR 3289,22    Pup,235.51559,13.50133,
HR 329,30    Cet,136.22663,-72.23448,
HR 3290,21    Cnc,213.67822,25.31519,
HR 3291,,246.77189,6.15972,-0.009
HR 3292,,187.20057,33.45198,
HR 3293,,272.86916,-11.91252,
HR 3294,,264.97735,-6.49712,
HR 3295,,228.37499,18.25407,
HR 3296,,256.64827,-0.5723,
HR 3297,1    Hya,227.49397,18.73856,0.057
HR 3298,,278.20487,-15.1861,
HR 3299,25    Cnc,207.30173,28.31373,0.035
HR 33,6    Cet,82.22732,-75.06525,0.067
HR 330,80    Psc,130.67605,-56.96724,0.036
HR 3300,,268.0455,-8.48571,
HR 3301,Kap1Vol,284.82535,-19.0456,
HR 3302,Kap2Vol,284.82439,-19.02739,
HR 3303,,148.0733,34.30162,
HR 3304,22Phi1Cnc,195.49887,32.01851,
HR 3305,,222.18957,21.83385,
HR 3306,,216.95891,24.42467,0.016
HR 3307,Eps Car,274.28563,-12.60116,
HR 3308,,244.38396,8.35488,
HR 3309,,174.49694,35.41889,0.046
HR 331,Ups Phe,290.81447,-75.25415,0.014
HR 3310,23Phi2Cnc,196.60651,31.81572,0.01
HR 3311,23Phi2Cnc,196.60574,31.81666,0.01
HR 3312,24    Cnc,199.28251,31.07414,0.021
HR 3313,24    Cnc,199.28172,31.07561,0.021
HR 3314,,227.77899,18.89177,0.026
HR 3315,,245.14657,7.87774,0.031
HR 3316,,242.67222,9.61701,
HR 3317,,239.66975,11.69233,
HR 3318,Alp Cha,289.86004,-21.68127,0.053
HR 3319,27    Cnc,211.95227,26.78497,0.03
HR 332,Iot Tuc,299.64,-55.25138,0.033
HR 3320,,237.56002,13.12679,
HR 3321,2    Hya,227.95895,19.02118,0.028
HR 3322,,260.50249,-2.88819,
HR 3323,1Omi UMa,155.97647,35.42693,0.009
HR 3324,,235.59434,14.58642,
HR 3325,,230.26336,17.95623,
HR 3326,,260.09557,-2.39563,
HR 3327,,257.61869,-0.53862,0.005
HR 3328,,257.62055,-0.53756,0.005
HR 3329,28    Cnc,199.87696,31.37513,
HR 333,,123.90639,16.8416,
HR 3330,,267.94267,-7.93202,
HR 3331,,249.64739,5.25272,
HR 3332,,145.61023,34.14115,
HR 3333,29    Cnc,210.55919,27.83449,
HR 3334,Eta Vol,286.65774,-19.81767,0.01
HR 3335,,242.80081,10.16232,
HR 3336,,251.71334,3.90792,
HR 3337,,226.88394,20.20185,0.015
HR 3338,,232.55323,16.91468,
HR 3339,,247.24427,7.21507,
HR 334,31Eta Cet,137.16104,-72.57841,0.041
HR 3340,The Cha,290.45803,-21.83664,0.036
HR 3341,,268.9201,-8.43019,
HR 3342,,233.44891,16.52785,
HR 3343,,254.60445,2.03014,
HR 3344,,244.80119,9.09826,
HR 3345,,243.0689,10.35916,
HR 3346,,278.92026,-15.01356,
HR 3347,Bet Vol,280.26149,-15.84316,0.042
HR 3348,,184.80208,35.10945,
HR 3349,,270.84651,-9.55337,
HR 335,42Phi And,126.11241,-15.51826,0.003
HR 3350,,269.25677,-8.44277,0.021
HR 3351,,165.30306,36.35836,
HR 3352,,139.27442,32.95138,
HR 3353,,248.43565,6.80961,
HR 3354,2    UMa,150.52384,35.20541,0.017
HR 3355,30Ups1Cnc,200.18929,31.98328,
HR 3356,,262.07716,-3.07778,
HR 3357,31The Cnc,206.77061,29.97827,
HR 3358,,265.143,-5.28099,
HR 3359,,262.57064,-3.35944,0
HR 336,31    Cas,124.67863,5.97205,0.017
HR 3360,,183.95506,35.53874,0.011
HR 3361,,215.4362,26.74257,
HR 3362,,252.50661,4.17716,
HR 3363,,263.90811,-4.25608,
HR 3364,,256.20493,1.49992,
HR 3365,32    Lyn,185.88682,35.37055,0.032
HR 3366,33Eta Cnc,204.33156,31.05599,0.013
HR 3367,,242.27263,11.6449,0.003
HR 3368,,271.17329,-9.40264,
HR 3369,32Ups2Cnc,200.30963,32.30852,0.027
HR 337,43Bet And,127.10747,-27.10279,0.049
HR 3370,,283.85797,-17.79865,
HR 3371,,262.70496,-3.1949,
HR 3372,34    Cnc,215.27109,27.01864,
HR 3373,,258.20397,0.26389,
HR 3374,,238.55468,14.40698,
HR 3375,,265.29848,-4.95848,
HR 3376,,212.11806,28.59245,
HR 3377,33    Lyn,185.96469,35.63861,
HR 3378,,220.68198,24.87526,
HR 3379,,140.44343,33.47971,0.015
HR 338,Zet Phe,297.83299,-61.71435,0.013
HR 3380,,217.08721,26.66181,
HR 3381,,246.66942,9.05318,0.016
HR 3382,,270.67136,-8.7219,
HR 3383,,227.29266,21.58128,
HR 3384,,252.27067,4.97361,0.086
HR 3385,,254.81778,3.13998,
HR 3386,,269.7489,-7.96583,
HR 3387,35    Cnc,205.5138,31.33696,
HR 3388,,257.86824,0.97675,
HR 3389,,258.2878,0.74033,
HR 339,81Psi3Psc,128.85361,-43.00169,
HR 3390,,264.8057,-4.1125,
HR 3391,3Pi 1UMa,150.55184,35.70423,0.073
HR 3392,,222.85214,24.29555,
HR 3393,,293.84383,-23.25635,
HR 3394,,210.21582,29.93663,
HR 3395,,219.11819,26.20215,0.052
HR 3396,,219.11631,26.20434,0.052
HR 3397,,253.36859,4.60842,
HR 3398,3    Hya,232.79857,18.85387,
HR 3399,,257.39422,1.61277,
HR 34,Kap2Scl,26.29795,-81.134,
HR 340,44    And,126.67316,-20.65319,
HR 3400,,164.89138,37.21209,
HR 3401,,156.74291,36.6254,
HR 3402,,248.82443,8.18284,
HR 3403,4Pi 2UMa,151.35906,35.9568,0.016
HR 3404,,259.36805,0.31353,
HR 3405,,165.48183,37.33503,
HR 3406,36    Cnc,216.21871,27.82653,
HR 3407,,267.32874,-5.71299,0.009
HR 3408,,165.74656,37.39148,
HR 3409,,190.50888,35.68853,
HR 341,,128.28672,-37.21751,
HR 3410,4Del Hya,220.25526,26.18163,0.033
HR 3411,,230.32381,20.88367,
HR 3412,37    Cnc,216.42096,28.01133,
HR 3413,,268.26695,-6.17612,
