name,alt_name,ra,dec,parallax
HR 1131,38Omi Per,160.36355,-17.73987,0.023
HR 1132,14    Tau,169.30806,-27.29777,
HR 1133,,157.6405,-14.48972,
HR 1134,Del For,230.88156,-52.77313,
HR 1135,41Nu  Per,153.83181,-9.63268,0.02
HR 1136,23Del Eri,198.08713,-45.99576,0.109
HR 1137,,168.47347,-26.26474,
HR 1138,,136.54582,12.8621,0.017
HR 1139,,199.05401,-46.27652,
HR 114,28    And,117.42149,-32.89187,0.001
HR 1140,16    Tau,166.03848,-23.72862,0.012
HR 1141,,152.00098,-7.10869,
HR 1142,17    Tau,166.18033,-23.84876,0.02
HR 1143,,239.76491,-52.68848,0.028
HR 1144,18    Tau,165.70507,-23.26448,
HR 1145,19    Tau,165.98396,-23.53463,
HR 1146,24    Eri,188.32112,-41.08487,
HR 1147,,145.85355,1.09538,
HR 1148,Gam Cam,136.31417,13.27447,0.012
HR 1149,20    Tau,166.17062,-23.51447,
HR 115,,99.58481,-76.74791,
HR 1150,25    Eri,187.48285,-40.48525,
HR 1151,21    Tau,166.04908,-23.36338,
HR 1152,22    Tau,166.09454,-23.36161,
HR 1153,29    Tau,181.28207,-36.39112,
HR 1154,,293.48434,-35.5872,
HR 1155,,140.02341,8.7503,0.014
HR 1156,23    Tau,166.57006,-23.74915,
HR 1157,,245.19452,-52.14149,
HR 1158,,141.44916,7.02584,
HR 1159,,180.67076,-35.80997,
HR 116,,344.91378,-83.14907,
HR 1160,,149.15868,-2.90322,
HR 1161,,145.30396,2.18561,
HR 1162,26Pi  Eri,201.55392,-46.46732,0
HR 1163,,160.08037,-16.25512,0.005
HR 1164,,161.01961,-17.3348,
HR 1165,25Eta Tau,166.66846,-23.45523,0.008
HR 1166,,138.26222,11.18451,
HR 1167,,256.76196,-50.50762,
HR 1168,,265.79858,-48.4603,
HR 1169,,255.66818,-50.62906,
HR 117,12    Cet,109.56784,-66.27216,
HR 1170,,153.52328,-8.10326,
HR 1171,Sig For,226.80922,-51.6108,
HR 1172,,167.33218,-23.8254,
HR 1173,27Tau6Eri,217.35116,-50.32416,0.059
HR 1174,30    Tau,177.17124,-32.53389,0.011
HR 1175,Bet Ret,279.23592,-43.53648,0.042
HR 1176,,153.01587,-7.21751,
HR 1177,42    Per,160.70001,-16.41702,-0.003
HR 1178,27    Tau,167.01361,-23.23464,-0.026
HR 1179,,227.74769,-51.49333,
HR 118,,66.87258,-84.19119,0.018
HR 1180,28    Tau,166.9567,-23.16943,-0.012
HR 1181,28Tau7Eri,218.37175,-50.30266,0.014
HR 1182,,187.65114,-39.42826,
HR 1183,,167.36925,-23.39782,
HR 1184,Rho For,228.19609,-51.39665,0.008
HR 1185,,168.50173,-24.43861,
HR 1186,,237.73995,-51.72929,
HR 1187,,214.04007,-49.27333,
HR 1188,,166.10416,-21.93371,0.018
HR 1189,,240.17487,-51.53275,0.024
HR 119,,318.96977,-75.52901,
HR 1190,,240.17218,-51.53116,0.024
HR 1191,,160.22652,-15.13684,
HR 1192,,145.22154,3.22245,
HR 1193,,168.97465,-24.32268,
HR 1194,,176.11558,-30.7046,
HR 1195,,237.88551,-51.39945,0.025
HR 1196,,136.36348,13.96218,
HR 1197,,162.44166,-17.51697,
HR 1198,,151.14603,-3.98122,0.02
HR 1199,31    Tau,182.07102,-34.8752,
HR 12,,55.56085,-79.07589,
HR 120,,312.51833,-68.52043,
HR 1200,,238.24066,-51.16074,
HR 1201,,172.93878,-27.4134,0.03
HR 1202,30    Eri,194.48646,-41.73822,0.018
HR 1203,44Zet Per,162.28908,-16.69047,0.01
HR 1204,,142.27674,7.417,
HR 1205,,143.53504,5.90249,0.015
HR 1206,,211.06202,-47.43943,
HR 1207,,151.9442,-4.3321,
HR 1208,Gam Hyi,289.12932,-37.79824,0.005
HR 1209,,163.08114,-17.13643,-0.002
HR 121,13    Cas,120.93601,3.72525,
HR 1210,43    Per,150.2037,-2.10369,0.036
HR 1211,32    Eri,192.09288,-40.09828,0.004
HR 1212,32    Eri,192.09524,-40.099,0.004
HR 1213,33Tau8Eri,219.99578,-49.14328,
HR 1214,,235.56799,-50.53095,
HR 1215,,160.46857,-13.97358,
HR 1216,,254.43484,-49.37293,
HR 1217,,202.97391,-44.46993,
HR 1218,32    Tau,169.58993,-23.15548,0.03
HR 1219,,244.38447,-50.22977,
HR 122,,118.16235,-29.10466,
HR 1220,45Eps Per,157.35364,-10.08848,0.009
HR 1221,33    Tau,169.09522,-22.62556,
HR 1222,,168.19491,-21.64244,
HR 1223,,160.89943,-13.95852,
HR 1224,,183.49559,-34.22144,
HR 1225,,200.29407,-43.09726,
HR 1226,,158.23063,-10.88859,
HR 1227,,262.79141,-47.63571,
HR 1228,46Xi  Per,160.3722,-13.10651,-0.004
HR 1229,,158.41956,-10.75109,0.005
HR 123,14Lam Cas,120.05119,-8.23952,0.03
HR 1230,,130.5092,20.90737,0.005
HR 1231,34Gam Eri,205.16229,-44.47269,0.01
HR 1232,,195.68119,-40.48674,
HR 1233,,180.07243,-30.97649,
HR 1234,,159.90074,-11.90817,
HR 1235,,204.19897,-43.74936,
HR 1236,,276.74108,-43.1074,
HR 1237,,174.3421,-26.15168,
HR 1238,,173.65354,-25.50124,
HR 1239,35Lam Tau,178.37174,-29.37573,0.002
HR 124,,119.90635,-9.91628,0.008
HR 1240,36Tau9Eri,219.64723,-47.6245,0.015
HR 1241,,139.14644,12.18203,
HR 1242,,145.51428,5.02951,
HR 1243,,180.75607,-30.79986,
HR 1244,35    Eri,191.88328,-37.81444,
HR 1245,,268.50295,-45.53236,
HR 1246,,229.22767,-48.70794,
HR 1247,Del Ret,274.01878,-43.77571,-0.001
HR 1248,,141.3839,9.90998,
HR 1249,,190.74052,-36.87222,0.057
HR 125,Lam1Phe,311.74848,-67.98049,0.027
HR 1250,,260.81693,-47.14115,
HR 1251,38Nu  Tau,184.67981,-33.05858,0.03
HR 1252,36    Tau,169.6676,-20.78812,0.014
HR 1253,40    Tau,185.30922,-33.2826,
HR 1254,,182.77841,-31.53201,0.03
HR 1255,,149.17953,1.39743,
HR 1256,37    Tau,171.27772,-22.15084,0.013
HR 1257,,187.90281,-34.76466,0.02
HR 1258,,214.57512,-45.74119,
HR 1259,,214.6159,-45.70085,
HR 126,Bet1Tuc,306.77862,-54.02133,0.03
HR 1260,,143.67504,7.65779,
HR 1261,47Lam Per,151.62557,-1.32162,
HR 1262,39    Tau,171.44597,-22.09483,0.063
HR 1263,,209.94099,-44.34341,
HR 1264,Gam Ret,274.80528,-43.21409,
HR 1265,,205.17201,-42.76939,
HR 1266,Iot Ret,273.43421,-43.63633,0.014
HR 1267,,215.0327,-45.53386,
HR 1268,41    Tau,167.42814,-17.95925,
HR 1269,42Psi Tau,166.46246,-16.89958,
HR 127,Bet2Tuc,306.77406,-54.01391,0.03
HR 1270,,145.47634,6.01317,
HR 1271,,299.19716,-30.55626,0.008
HR 1272,,200.69702,-40.65062,
HR 1273,48    Per,153.65426,-3.04511,0.02
HR 1274,,215.32435,-45.33148,
HR 1275,,225.30591,-47.18157,0.045
HR 1276,,148.92411,2.2745,
HR 1277,49    Per,160.43543,-10.42167,0.02
HR 1278,50    Per,160.27004,-10.14653,0.049
HR 1279,,177.37773,-26.33046,0.007
HR 128,,119.2856,-19.24255,
HR 1280,,175.62892,-24.82852,0.006
HR 1281,,137.1474,15.10062,
HR 1282,,139.7315,12.48388,
HR 1283,43Ome1Tau,174.00135,-23.09167,0.023
HR 1284,,179.1064,-27.24455,
HR 1285,,247.92792,-47.57334,
HR 1286,,163.77,-13.02887,
HR 1287,44    Tau,168.96035,-18.07996,
HR 1288,,210.32127,-43.12241,
HR 1289,,128.40159,23.40086,0.003
HR 129,,121.44231,8.16237,
HR 1290,37    Eri,199.18747,-38.75582,
HR 1291,,252.20713,-47.01599,
HR 1292,45    Tau,186.58107,-31.7238,0.032
HR 1293,,201.39571,-39.57675,
HR 1294,,276.88338,-41.65366,0.038
HR 1295,,176.47183,-24.06319,
HR 1296,,147.69318,4.73108,
HR 1297,,172.41598,-20.55413,
HR 1298,38Omi1Eri,199.32357,-38.39126,0.033
HR 1299,,236.63019,-47.05448,
HR 13,,355.91143,-78.67105,
HR 130,15Kap Cas,120.83615,0.135,
HR 1300,,215.72225,-43.98749,
HR 1301,,161.09851,-9.46579,
HR 1302,Del Hor,246.49623,-47.0177,0.012
HR 1303,51Mu  Per,153.9393,-1.82429,0.017
HR 1304,,128.83581,23.15253,0.015
HR 1305,,144.78186,8.04148,
HR 1306,52    Per,159.45075,-7.54008,0.004
HR 1307,,182.68608,-28.4161,
HR 1308,,183.85903,-29.24737,
HR 1309,46    Tau,184.93164,-29.96138,0.03
HR 131,52    Psc,116.94751,-42.35825,0.032
HR 1310,,180.50583,-26.76452,
HR 1311,47    Tau,183.59619,-28.93585,0.029
HR 1312,,193.5353,-35.06751,
HR 1313,,147.61669,5.21463,
HR 1314,,150.54129,2.12613,0.011
HR 1315,,183.04345,-28.34401,
HR 1316,,249.91234,-46.50936,
HR 1317,,130.89223,21.50201,0.014
HR 1318,39    Eri,203.57873,-39.45101,0.015
HR 1319,48    Tau,178.58974,-24.70277,
HR 132,51    Psc,114.54664,-55.60583,
HR 1320,49Mu  Tau,184.2074,-28.85415,
HR 1321,,186.65726,-30.50358,
HR 1322,,186.67914,-30.5,
HR 1323,,244.07395,-46.57673,
HR 1324,,153.02101,-0.08896,
HR 1325,40Omi2Eri,200.75262,-38.04787,0.209
HR 1326,Alp Hor,246.87951,-46.41423,0.026
HR 1327,,142.71769,10.6598,
HR 1328,,158.72309,-5.92852,
HR 1329,50Ome2Tau,174.60513,-21.03326,
HR 133,,117.82183,-35.10392,
HR 1330,,153.30554,-0.15563,
